#name, A, B, C, D, E, F, G, H, I, J, K, L
GCA_002127365.1_ASM212736v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000016, 1.5153984192025929e-09, 4.378449651098562e-10, 0.9999999929279253, 1.5354141784333298e-09, 4.4293495742337914e-10, 4.363406412769175e-10, 4.766225709328018e-10, 4.3461830475667954e-10, 4.42371481578812e-10, 4.680816383987534e-10, 4.412239396246651e-10, 4.4122393955589994e-10
GCA_001972465.1_ASM197246v1_genomic, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000017, 1.5136740871385044e-09, 4.3750707735944033e-10, 0.9999999929345006, 1.5336529481210204e-09, 4.425935259744466e-10, 4.360052314402259e-10, 4.762587161079252e-10, 4.34284068182017e-10, 4.4203178539268214e-10, 4.677241310775906e-10, 4.408838882134451e-10, 4.4088388814473283e-10
GCA_001972385.1_ASM197238v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001972405.1_ASM197240v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000018, 1.515402341063502e-09, 4.3784548788040553e-10, 0.9999999929279123, 1.5354182182552294e-09, 4.429354848762786e-10, 4.363411580004871e-10, 4.766231276779761e-10, 4.3461882001107705e-10, 4.423720044201664e-10, 4.680821857397713e-10, 4.412244649473275e-10, 4.4122446487856155e-10
GCA_006376585.1_ASM637658v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000019, 1.5171227535291635e-09, 4.381828523274351e-10, 0.9999999929213493, 1.5371754108076443e-09, 4.432763884374417e-10, 4.366760506779671e-10, 4.769864252604424e-10, 4.3495254084412e-10, 4.4271117729802606e-10, 4.684391452091986e-10, 4.415639905548718e-10, 4.4156399048605377e-10
NODE_0000020, 1.5136760447206954e-09, 4.3750733844092214e-10, 0.9999999929344944, 1.5336549640029978e-09, 4.425937893948624e-10, 4.36005489503024e-10, 4.762589941605409e-10, 4.342843255108743e-10, 4.4203204651110774e-10, 4.67724404433352e-10, 4.4088415056996876e-10, 4.408841505012564e-10
GCA_001601675.1_ASM160167v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_002127375.1_ASM212737v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000021, 1.5154003745582587e-09, 4.3784522598791346e-10, 0.9999999929279186, 1.5354161920019072e-09, 4.4293522063909125e-10, 4.3634089913970656e-10, 4.766228487713186e-10, 4.346185618858469e-10, 4.4237174249499075e-10, 4.680819115438655e-10, 4.412242017772029e-10, 4.412242017084379e-10
GCA_008630415.1_ASM863041v1_genomic, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000022, 1.515396459390369e-09, 4.378447038267374e-10, 0.9999999929279313, 1.535412160235056e-09, 4.429346937997491e-10, 4.363403830155941e-10, 4.766222926677548e-10, 4.34618047229772e-10, 4.4237122025971703e-10, 4.68081364834048e-10, 4.412236770657842e-10, 4.41223676997019e-10
GCA_008630455.1_ASM863045v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000023, 1.5136740849153127e-09, 4.3750707715694373e-10, 0.9999999929345006, 1.5336529458125986e-09, 4.425935257705599e-10, 4.360052312410256e-10, 4.762587158947194e-10, 4.3428406798319373e-10, 4.420317851912811e-10, 4.677241308678438e-10, 4.4088388801032777e-10, 4.4088388794161563e-10
GCA_001972395.1_ASM197239v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_002165475.1_ASM216547v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000024, 1.5171356968001257e-09, 4.381844313471922e-10, 0.9999999929204598, 1.5380375917986232e-09, 4.4327798157091673e-10, 4.366776129303563e-10, 4.7698811333705e-10, 4.349540989532514e-10, 4.4271275894103656e-10, 4.684408045988143e-10, 4.415655778452982e-10, 4.415655777764806e-10
NODE_0000025, 1.517128652888527e-09, 4.3818363813194495e-10, 0.9999999929213292, 1.537182456356698e-09, 4.4327718127919144e-10, 4.366768273912441e-10, 4.769872621313988e-10, 4.349533153498571e-10, 4.4271196320743605e-10, 4.684399679445902e-10, 4.415647801951741e-10, 4.4156478012635506e-10
NODE_0000026, 1.51540038348209e-09, 4.3784522680026045e-10, 0.9999999929279186, 1.535416202375893e-09, 4.429352214570147e-10, 4.3634089993883107e-10, 4.766228496266306e-10, 4.346185626834586e-10, 4.4237174330294376e-10, 4.680819123853018e-10, 4.412242025920407e-10, 4.4122420252327553e-10
GCA_001295055.1_ASM129505v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000027, 1.5153984169793754e-09, 4.378449649079254e-10, 0.999999992927925, 1.535414176125209e-09, 4.4293495721998447e-10, 4.3634064107820436e-10, 4.766225707201375e-10, 4.346183045583829e-10, 4.423714813779239e-10, 4.680816381895567e-10, 4.412239394220741e-10, 4.412239393533089e-10
GCA_001294985.1_ASM129498v1_genomic, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000028, 1.5153964571671853e-09, 4.3784470362424275e-10, 0.9999999929279313, 1.535412157926646e-09, 4.429346935958642e-10, 4.3634038281639556e-10, 4.76622292454551e-10, 4.346180470309507e-10, 4.4237122005831784e-10, 4.680813646243029e-10, 4.4122367686266886e-10, 4.4122367679390363e-10
GCA_003074435.1_ASM307443v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000029, 1.5136740849127917e-09, 4.3750707715678615e-10, 0.9999999929345006, 1.5336529458099593e-09, 4.425935257704016e-10, 4.360052312408713e-10, 4.762587158945553e-10, 4.342840679830395e-10, 4.420317851911252e-10, 4.677241308676822e-10, 4.4088388801017e-10, 4.408838879414579e-10
GCA_003074395.1_ASM307439v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_003074415.1_ASM307441v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000030, 1.5171266776294881e-09, 4.381833752989157e-10, 0.9999999929213365, 1.53717945295639e-09, 4.432769160930386e-10, 4.3667656759953816e-10, 4.769869822174342e-10, 4.349530562959446e-10, 4.4271170033947067e-10, 4.684396927585141e-10, 4.41564516079285e-10, 4.415645160104667e-10
NODE_0000031, 1.5153984214333753e-09, 4.3784496531282466e-10, 0.9999999929279253, 1.5354141807496986e-09, 4.4293495762773974e-10, 4.3634064147657966e-10, 4.766225711464987e-10, 4.346183049559643e-10, 4.423714817806798e-10, 4.680816386089838e-10, 4.4122393982825474e-10, 4.4122393975948956e-10
GCA_003085875.1_ASM308587v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000032, 1.5136740871410337e-09, 4.375070773595984e-10, 0.9999999929345005, 1.533652948123669e-09, 4.425935259746051e-10, 4.360052314403805e-10, 4.762587161080895e-10, 4.342840681821714e-10, 4.420317853928382e-10, 4.677241310777524e-10, 4.408838882136031e-10, 4.4088388814489087e-10
GCA_001188325.1_YPY_1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001188715.1_ASM118871v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000033, 1.5154003812379728e-09, 4.3784522659602956e-10, 0.9999999929279186, 1.5354161989390473e-09, 4.4293522125138166e-10, 4.36340899737922e-10, 4.766228494115886e-10, 4.346185624829294e-10, 4.4237174309981374e-10, 4.680819121737487e-10, 4.412242023871827e-10, 4.412242023184174e-10
GCA_001295065.1_ASM129506v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000034, 1.5153984169768275e-09, 4.37844964907766e-10, 0.999999992927925, 1.5354141761212775e-09, 4.429349572198243e-10, 4.3634064107804823e-10, 4.766225707199714e-10, 4.3461830455822687e-10, 4.4237148137776616e-10, 4.680816381893934e-10, 4.412239394219144e-10, 4.4122393935314924e-10
GCA_001294905.1_ASM129490v1_genomic, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000035, 1.5153964571671826e-09, 4.3784470362424265e-10, 0.9999999929279313, 1.5354121579266415e-09, 4.429346935958641e-10, 4.3634038281639546e-10, 4.766222924545509e-10, 4.346180470309505e-10, 4.4237122005831773e-10, 4.680813646243028e-10, 4.412236768626687e-10, 4.4122367679390353e-10
GCA_001295105.1_ASM129510v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000036, 1.5136740849127917e-09, 4.3750707715678615e-10, 0.9999999929345006, 1.5336529458099593e-09, 4.425935257704016e-10, 4.360052312408713e-10, 4.762587158945553e-10, 4.342840679830395e-10, 4.420317851911252e-10, 4.677241308676822e-10, 4.4088388801017e-10, 4.408838879414579e-10
GCA_001295185.1_ASM129518v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_006376505.1_ASM637650v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000037, 1.5154023565036806e-09, 4.3784548943109217e-10, 0.9999999929279112, 1.535419202342983e-09, 4.429354864393864e-10, 4.3634115953145705e-10, 4.766231293275664e-10, 4.346188215387683e-10, 4.423720059696785e-10, 4.680821873618456e-10, 4.412244665050077e-10, 4.4122446643624237e-10
GCA_003085935.1_ASM308593v1_genomic, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000038, 1.5171266798628032e-09, 4.3818337550204023e-10, 0.9999999929213363, 1.5371794552741421e-09, 4.4327691629755604e-10, 4.366765677993541e-10, 4.769869824312942e-10, 4.3495305649538253e-10, 4.4271170054149403e-10, 4.684396929689053e-10, 4.4156451628303155e-10, 4.4156451621421317e-10
NODE_0000039, 1.5153984214359102e-09, 4.378449653129827e-10, 0.9999999929279253, 1.5354141807523514e-09, 4.429349576278986e-10, 4.3634064147673445e-10, 4.766225711466633e-10, 4.3461830495611894e-10, 4.423714817808361e-10, 4.680816386091458e-10, 4.412239398284131e-10, 4.4122393975964786e-10
GCA_001295045.1_ASM129504v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000040, 1.5136740871410364e-09, 4.375070773595985e-10, 0.9999999929345005, 1.5336529481236722e-09, 4.425935259746052e-10, 4.360052314403806e-10, 4.762587161080896e-10, 4.3428406818217156e-10, 4.4203178539283843e-10, 4.677241310777525e-10, 4.4088388821360327e-10, 4.4088388814489103e-10
GCA_001294915.1_ASM129491v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_006376545.1_ASM637654v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000041, 1.5171286418891768e-09, 4.3818363698536457e-10, 0.9999999929213302, 1.5371814746630289e-09, 4.432771801229596e-10, 4.3667682625779074e-10, 4.769872609072521e-10, 4.349533142189308e-10, 4.427119620598294e-10, 4.684399667410598e-10, 4.4156477904283237e-10, 4.4156477897401414e-10
NODE_0000042, 1.5153984236641404e-09, 4.378449655157909e-10, 0.9999999929279251, 1.535414183064783e-09, 4.429349578320983e-10, 4.3634064167623986e-10, 4.766225713601935e-10, 4.346183051552468e-10, 4.4237148198254536e-10, 4.68081638819212e-10, 4.4122394003184224e-10, 4.4122393996307696e-10
GCA_002993145.1_ASM299314v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000043, 1.513674087143563e-09, 4.375070773597564e-10, 0.9999999929345006, 1.5336529481263158e-09, 4.4259352597476386e-10, 4.360052314405351e-10, 4.762587161082539e-10, 4.3428406818232603e-10, 4.4203178539299456e-10, 4.677241310779144e-10, 4.4088388821376136e-10, 4.408838881450491e-10
GCA_001188795.1_ASM118879v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001294815.1_ASM129481v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000044, 1.5171286418866235e-09, 4.3818363698520446e-10, 0.9999999929213302, 1.5371814746590907e-09, 4.432771801227989e-10, 4.3667682625763373e-10, 4.769872609070859e-10, 4.3495331421877363e-10, 4.427119620596706e-10, 4.684399667408947e-10, 4.415647790426724e-10, 4.415647789738533e-10
NODE_0000045, 1.5153984236641373e-09, 4.378449655157908e-10, 0.9999999929279251, 1.5354141830647782e-09, 4.429349578320982e-10, 4.3634064167623976e-10, 4.766225713601933e-10, 4.3461830515524675e-10, 4.4237148198254526e-10, 4.680816388192119e-10, 4.412239400318421e-10, 4.412239399630768e-10
GCA_000382505.1_Yersinia_pestis_G1670E_assembly_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000046, 1.513674087143563e-09, 4.375070773597564e-10, 0.9999999929345006, 1.5336529481263158e-09, 4.4259352597476386e-10, 4.360052314405351e-10, 4.762587161082539e-10, 4.3428406818232603e-10, 4.4203178539299456e-10, 4.677241310779144e-10, 4.4088388821376136e-10, 4.408838881450491e-10
GCA_000382545.1_Yersinia_pestis_assembly_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001188335.1_DYA_1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000047, 1.5171266776136257e-09, 4.3818337529693036e-10, 0.9999999929213365, 1.5371794518304025e-09, 4.432769160911159e-10, 4.3667656759764934e-10, 4.769869822153836e-10, 4.349530562940189e-10, 4.4271170033753936e-10, 4.684396927564805e-10, 4.4156451607733293e-10, 4.415645160085138e-10
NODE_0000048, 1.5136760491721354e-09, 4.37507338846229e-10, 0.9999999929344943, 1.5336549686251307e-09, 4.4259378980295074e-10, 4.360054899017318e-10, 4.76258994587279e-10, 4.3428432590882764e-10, 4.420320469142201e-10, 4.677244048531676e-10, 4.408841509765174e-10, 4.4088415090780504e-10
GCA_000382525.1_Yersinia_pestis_G3768_assembly_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001188755.1_ASM118875v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000049, 1.5171227535342442e-09, 4.3818285232718436e-10, 0.9999999929213492, 1.5371754108113733e-09, 4.432763884372662e-10, 4.3667605067778814e-10, 4.769864252602292e-10, 4.349525408439015e-10, 4.427111772978254e-10, 4.684391452089715e-10, 4.4156399055466106e-10, 4.415639904858429e-10
NODE_0000050, 1.5136760447207014e-09, 4.3750733844092193e-10, 0.9999999929344944, 1.533654964003002e-09, 4.4259378939486227e-10, 4.360054895030239e-10, 4.762589941605407e-10, 4.342843255108741e-10, 4.4203204651110764e-10, 4.677244044333519e-10, 4.4088415056996855e-10, 4.4088415050125626e-10
GCA_000324925.1_ASM32492v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001188775.1_ASM118877v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000051, 1.5136760447207014e-09, 4.3750733844092193e-10, 0.9999999929344944, 1.533654964003002e-09, 4.4259378939486227e-10, 4.360054895030239e-10, 4.762589941605407e-10, 4.342843255108741e-10, 4.4203204651110764e-10, 4.677244044333519e-10, 4.4088415056996855e-10, 4.4088415050125626e-10
GCA_001188695.1_ASM118869v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001188935.1_ASM118893v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000052, 1.2853009231037097e-06, 1.998944330919531e-09, 0.9999986971258619, 5.335354387043709e-09, 1.1853208728081267e-09, 1.1667673509401684e-09, 1.2718459645013602e-09, 1.3460179440630483e-09, 1.257834745857061e-09, 1.3280155291829779e-09, 1.3415570273942463e-09, 1.3415570272071722e-09
NODE_0000053, 2.9698239367399478e-09, 4.39781690873644e-10, 0.9999999914564549, 1.5409240006873953e-09, 4.4400731115930264e-10, 4.3739471826687294e-10, 4.777674588834853e-10, 4.3593249878897474e-10, 4.4354739214758394e-10, 4.693194245861508e-10, 4.425233318620107e-10, 4.4252333179307475e-10
SAMEA104488961, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000054, 1.5187743397446709e-09, 4.3818543970336643e-10, 0.9999999929196709, 1.5371850619432781e-09, 4.432780463540988e-10, 4.3667767838005134e-10, 4.7698818803368e-10, 4.34954504623917e-10, 4.4271296538523103e-10, 4.684410234487134e-10, 4.415659414019906e-10, 4.415659413331715e-10
NODE_0000055, 1.5136779137174472e-09, 4.375073413773813e-10, 0.9999999929344925, 1.5336549765252035e-09, 4.4259379131451345e-10, 4.360054913863224e-10, 4.762589961964672e-10, 4.3428432780695154e-10, 4.420320485891627e-10, 4.677244066131069e-10, 4.4088415284949784e-10, 4.4088415278078555e-10
GCA_000320425.1_ASM32042v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_000323625.1_ASM32362v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000056, 1.5171324816529153e-09, 4.381839018171946e-10, 0.9999999929213216, 1.537183512360159e-09, 4.43277446281282e-10, 4.366770870033e-10, 4.769875418513106e-10, 4.3495357464220813e-10, 4.42712226064719e-10, 4.684402431184022e-10, 4.4156504449443844e-10, 4.4156504442561934e-10
NODE_0000057, 1.5171286440163807e-09, 4.3818363698886266e-10, 0.9999999929213302, 1.5371814746804778e-09, 4.432771801253309e-10, 4.366768262601145e-10, 4.769872609097585e-10, 4.3495331422174853e-10, 4.4271196206238524e-10, 4.684399667437371e-10, 4.4156477904563304e-10, 4.4156477897681477e-10
NODE_0000058, 1.5153984236665502e-09, 4.378449655157949e-10, 0.999999992927925, 1.5354141830648049e-09, 4.4293495783210086e-10, 4.3634064167624245e-10, 4.766225713601963e-10, 4.3461830515524995e-10, 4.4237148198254826e-10, 4.68081638819215e-10, 4.412239400318454e-10, 4.4122393996308017e-10
GCA_000324665.1_ASM32466v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000059, 1.5136740871435655e-09, 4.3750707735975647e-10, 0.9999999929345006, 1.5336529481263158e-09, 4.425935259747639e-10, 4.360052314405351e-10, 4.762587161082539e-10, 4.3428406818232603e-10, 4.4203178539299456e-10, 4.677241310779144e-10, 4.4088388821376136e-10, 4.408838881450491e-10
GCA_000324045.1_ASM32404v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_000325185.1_ASM32518v1_genomic, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
