sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	library_layout	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	population_color	population	geometry	root_rtt_dist	population_rtt_dist	node_type	branch_length	branch_support	branch_support_conf_char	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_continent	mugration_host_order	mugration_population	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_continent_confidence	mugration_host_order_confidence	mugration_population_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	branch_length_sub	branch_length_time	rate_sub	rate_sub_year	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain	root_geo_dist	population_geo_dist
GCA_009669725.1_ASM966972v1_genomic	42102	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722917	KEEP: Assembly Modern	0.0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	NA	2.0	247.0	136.0	60.0	2.26667	0.0	0.0	266.0	247.0	19.0	0.07142860000000001	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.521069999999994e-05	1.2994500000000016e-05	terminal	2.347e-07	0.0		LOW	-34	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.9962597234	18.4002	1.2755296138085454e-08	0.05414396166346017	1987.0	1987.0	5.521069999999994e-05	144.0	5.521069999999994e-05	5512.01302	144.0	1987.0	0.0	0.0	China (1987.0) 42102	China (1987.0) 42102	823.02714885	0.0
GCA_009669715.1_ASM966971v1_genomic	42099	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722916	KEEP: Assembly Modern	0.0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	NA	2.045	244.0	138.0	59.0	2.33898	0.0	0.0	261.0	244.0	17.0	0.0651341	1.6429e-06	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5609299999999976e-05	1.3393100000000004e-05	terminal	1.6429e-06	0.0		LOW	-35	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	6.9738180638	38.8511	4.228709097039723e-08	0.1795011740671435	1986.0	1986.0	5.5609299999999976e-05	84.0	5.5609299999999976e-05	5511.013	84.0	1986.0	0.0	0.0	China (1986.0) 42099	China (1986.0) 42099	823.02714885	0.0
GCA_009669705.1_ASM966970v1_genomic	42098	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722915	KEEP: Assembly Modern	0.0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	NA	2.131	242.0	131.0	64.0	2.04688	0.0	0.0	269.0	242.0	27.0	0.100372	4.6939999999999995e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.45295e-05	1.23133e-05	terminal	4.694e-07	0.0		LOW	-35	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	1.9925194468	37.3985	1.2551305533644398e-08	0.05327805785793548	1986.0	1986.0	5.4529499999999994e-05	99.0	5.4529499999999994e-05	5511.013000000001	99.0	1986.0	0.0	0.0	China (1986.0) 42098	China (1986.0) 42098	823.02714885	0.0
GCA_009669775.1_ASM966977v1_genomic	42094	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722914	KEEP: Assembly Modern	0.0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	NA	2.035	237.0	132.0	59.0	2.23729	0.0	0.0	259.0	237.0	22.0	0.0849421	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.3919399999999984e-05	1.1703200000000005e-05	terminal	2.35e-08	0.0		LOW	-38	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	35.8511	6.554889529191572e-10	0.0027824339281082027	1983.0	1983.0	5.3919399999999984e-05	80.0	5.3919399999999984e-05	5508.013	80.0	1983.0	0.0	0.0	China (1983.0) 42094	China (1983.0) 42094	823.02714885	0.0
GCA_009669765.1_ASM966976v1_genomic	42093	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722913	KEEP: Assembly Modern	0.0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	NA	1.966	236.0	134.0	57.0	2.35088	0.0	0.0	256.0	236.0	20.0	0.078125	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05	terminal	2.35e-08	0.0		LOW	-38	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	11.0	2.136363636363636e-09	0.009068483363636363	1983.0	1983.0	5.4154099999999984e-05	104.0	5.4154099999999984e-05	5508.013040000001	104.0	1983.0	0.0	0.0	China (1983.0) 42093	China (1983.0) 42093	823.02714885	0.0
GCA_009669805.1_ASM966980v1_genomic	42092	1980.0	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722912	KEEP: Assembly Modern	0.0	Asia	1980.0	41.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	NA	2.0580000000000003	244.0	135.0	61.0	2.21311	0.0	0.0	275.0	244.0	31.0	0.112727	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.422459999999998e-05	1.2008400000000007e-05	terminal	2.35e-08	0.0		LOW	-41	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	7.68827	3.0566044116556777e-09	0.012974741651893077	1980.0	1980.0	5.4224599999999975e-05	120.0	5.4224599999999975e-05	5505.01297	120.0	1980.0	0.0	0.0	China (1980.0) 42092	China (1980.0) 42092	823.02714885	0.0
GCA_009669825.1_ASM966982v1_genomic	42090	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722911	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Oropsylla silantiewi	Siphonaptera	NA	2.022	243.0	133.0	62.0	2.14516	1.0	0.016128999999999998	255.0	243.0	12.0	0.047058800000000005	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4905199999999984e-05	1.2689000000000005e-05	terminal	2.35e-08	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	0.773776	3.0370546514753624e-08	0.12891756399784948	2001.0	2001.0	5.490519999999998e-05	94.0	5.490519999999998e-05	5526.013096000001	94.0	2001.0	0.0	0.0	China (2001.0) 42090	China (2001.0) 42090	823.02714885	0.0
GCA_009669835.1_ASM966983v1_genomic	42089	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722910	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Anoplura	Phthiraptera	NA	2.0340000000000003	241.0	135.0	59.0	2.2881400000000003	0.0	0.0	259.0	241.0	18.0	0.06949810000000001	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05	terminal	0.0	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Phthiraptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.0	13.0	0.0	0.0	2001.0	2001.0	5.4154099999999984e-05	116.0	5.4154099999999984e-05	5526.012952000001	116.0	2001.0	0.0	0.0	China (2001.0) 42089	China (2001.0) 42089	823.02714885	0.0
GCA_009669845.1_ASM966984v1_genomic	42088	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722909	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Ixodex crenulatus	Ixodida	NA	2.08	244.0	134.0	60.0	2.23333	0.0	0.0	263.0	244.0	19.0	0.0722433	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.445959999999995e-05	1.2243400000000016e-05	terminal	0.0	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Ixodida	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.0	25.0	0.0	0.0	2001.0	2001.0	5.445959999999995e-05	136.0	5.445959999999995e-05	5526.01299	136.0	2001.0	0.0	0.0	China (2001.0) 42088	China (2001.0) 42088	823.02714885	0.0
GCA_009669875.1_ASM966987v1_genomic	42086	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722908	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Neopsylla mana Wagn	Siphonaptera	NA	2.024	235.0	131.0	57.0	2.29825	0.0	0.0	255.0	235.0	20.0	0.0784314	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.443609999999995e-05	1.2219900000000012e-05	terminal	2.35e-08	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	32.4002	7.253041647891063e-10	0.0030787870753884237	2001.0	2001.0	5.443609999999995e-05	138.0	5.443609999999995e-05	5526.01302	138.0	2001.0	0.0	0.0	China (2001.0) 42086	China (2001.0) 42086	823.02714885	0.0
GCA_009669905.1_ASM966990v1_genomic	42085	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722907	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	1.989	246.0	137.0	60.0	2.28333	1.0	0.0166667	263.0	246.0	17.0	0.06463880000000001	2.3500000000000002e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.445959999999995e-05	1.2243400000000016e-05	terminal	2.35e-08	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.099753317	32.4002	7.253041647891063e-10	0.0030787870753884237	2001.0	2001.0	5.445959999999995e-05	139.0	5.445959999999995e-05	5526.01302	139.0	2001.0	0.0	0.0	China (2001.0) 42085	China (2001.0) 42085	823.02714885	0.0
GCA_009669955.1_ASM966995v1_genomic	42084	2000.0	-21	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722906	KEEP: Assembly Modern	0.0	Asia	2000.0	21.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.148	234.0	130.0	56.0	2.32143	0.0	0.0	251.0	234.0	17.0	0.0677291	2.3469999999999998e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.450629999999997e-05	1.2290100000000008e-05	terminal	2.347e-07	0.0		LOW	-21	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.9962597234	31.7085	7.401800778970938e-09	0.031419326786192976	2000.0	2000.0	5.450629999999997e-05	127.0	5.450629999999997e-05	5525.012970000001	127.0	2000.0	0.0	0.0	China (2000.0) 42084	China (2000.0) 42084	823.02714885	0.0
GCA_009669925.1_ASM966992v1_genomic	42083	1999.0	-22	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722905	KEEP: Assembly Modern	0.0	Asia	1999.0	22.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	NA	2.035	239.0	134.0	58.0	2.31034	0.0	0.0	258.0	239.0	19.0	0.0736434	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05	terminal	0.0	0.0		LOW	-22	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	0.0	17.8963	0.0	0.0	1999.0	1999.0	5.4154099999999984e-05	112.0	5.4154099999999984e-05	5524.012900000001	112.0	1999.0	0.0	0.0	China (1999.0) 42083	China (1999.0) 42083	823.02714885	0.0
