sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	branch_support_char	node_type	branch_length	branch_support	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_branch_major	mugration_branch_minor	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_branch_major_confidence	mugration_branch_minor_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	geometry	geometry_size	branch_length_sub	branch_length_time	sub_rate	geo_rate_sub	geo_rate_time	rate_sub	rate_geo_sub	rate_geo_time	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	branch_major_color	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain	root_rtt_dist	clade_rtt_dist
GCA_006546665.1_ASM654666v1_genomic	I-3193	1987.0	-34	Mongolia	Khovd	46.8250388	103.8499736	48.0552065	91.26731219782693	Ulegeica	0.PE	0.PE5	SAMN12138633	KEEP: Assembly Modern	0.0	Asia	1987.0	34.0	0.0	48.0552065	91.26731219782693		terminal	3.5387e-06	100.0	HIGH	-34	NA	NA	Mongolia	Khovd	0.PE	0.PE5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	46.8250388	103.8499736	48.0552065	91.26731219782693	POINT (91.26731219782693 48.0552065)	1.0	14.945720682200001	314.956	NA	NA	NA	0.047453360730387736	7.889638206049587	0.3743898478239202	1987.0	1987.0	5.7825700000000004e-05	31.0	5.7825700000000004e-05	#4c4ffc	5094.082	31.0	1987.0	0.0	0.0	Mongolia (1987.0) I-3193	Mongolia (1987.0) I-3193	5.7825700000000004e-05	5.58091e-05
GCA_006517425.1_ASM651742v1_genomic	I-3068	1982.0	-39	Mongolia	Övörkhangai	46.8250388	103.8499736	45.8297039	102.7237769	Ulegeica	0.PE	0.PE5	SAMN12131171	KEEP: Assembly Modern	0.0	Asia	1982.0	39.0	0.0	45.8297039	102.7237769		terminal	1.4155e-06	100.0	HIGH	-39	NA	NA	Mongolia	Övörkhangai	0.PE	0.PE5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	46.8250388	103.8499736	45.8297039	102.7237769	POINT (102.7237769 45.8297039)	1.0	5.978372743	161.55	NA	NA	NA	0.03700633081398948	50.83078942330326	1.8810610089349977	1982.0	1982.0	5.90053e-05	34.0	5.90053e-05	#4c4ffc	5089.0816	34.0	1982.0	0.0	0.0	Mongolia (1982.0) I-3068	Mongolia (1982.0) I-3068	5.90053e-05	5.69887e-05
GCA_000834775.1_ASM83477v1_genomic	Dodson	1967.0	-54	United States of America	Arizona	39.7837304	-100.4458825	34.395342	-111.763275	Orientalis	1.ORI	1.ORI1	SAMN03161124	KEEP: Assembly Modern	1.0	North America	1967.0	54.0	0.0	34.395342	-111.763275		terminal	9.437e-07	100.0	HIGH	-54	NA	NA	United States of America	Arizona	1.ORI	1.ORI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39.7837304	-100.4458825	34.395342	-111.763275	POINT (-111.763275 34.395342)	2.0	3.9857226122	157.741	NA	NA	NA	0.025267512011461823	0.0	0.0	1967.0	1967.0	6.355329999999997e-05	116.0	6.355329999999997e-05	#ff0000	5074.0813	116.0	1967.0	0.0	0.0	United States of America (1967.0) Dodson	United States of America (1967.0) Dodson	6.355329999999997e-05	2.923e-06
GCA_000834335.1_ASM83433v1_genomic	Shasta	1954.0	-67	United States of America	California	39.7837304	-100.4458825	36.7014631	-118.755997	Orientalis	1.ORI	1.ORI1	SAMN03120838	KEEP: Assembly Modern	1.0	North America	1954.0	67.0	0.0	36.7014631	-118.755997		terminal	7.077e-07	100.0	HIGH	-67	NA	NA	United States of America	California	1.ORI	1.ORI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39.7837304	-100.4458825	36.7014631	-118.755997	POINT (-118.755997 36.7014631)	2.0	2.9889751962	158.651	NA	NA	NA	0.018839939213745896	0.0	0.0	1954.0	1954.0	6.308379999999997e-05	114.0	6.308379999999997e-05	#ff0000	5061.0808	114.0	1954.0	0.0	0.0	United States of America (1954.0) Shasta	United States of America (1954.0) Shasta	6.308379999999997e-05	2.4535e-06
GCA_000734805.1_ASM73480v1_genomic	231	1947.0	-74	Kyrgyzstan	Naryn Region	41.5089324	74.724091	41.3564711	75.45197267868438	Antiqua	0.ANT	0.ANT3	SAMN02777961	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0.0	Asia	1947.0	74.0	0.0	41.3564711	75.45197267868438		terminal	1.1796e-06	100.0	HIGH	-74	NA	NA	Kyrgyzstan	Naryn Region	0.ANT	0.ANT3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	41.5089324	74.724091	41.3564711	75.45197267868438	POINT (75.45197267868438 41.3564711)	1.0	4.9820476776	112.836	NA	NA	NA	0.044152997958098475	168.04435089541752	7.419661881955354	1947.0	1947.0	5.25897e-05	48.0	5.25897e-05	#1996f3	5054.0814	48.0	1947.0	0.0	0.0	Kyrgyzstan (1947.0) 231	Kyrgyzstan (1947.0) 231	5.25897e-05	1.3684500000000001e-05
GCA_000834275.1_ASM83427v1_genomic	Harbin35	1940.0	-81	China	Heilongjiang	35.000074	104.999927	48.00000470000001	127.999992	Antiqua	2.ANT	2.ANT3	SAMN02769655	KEEP: Assembly Modern	2.0	Asia	1940.0	81.0	0.0	48.00000470000001	127.999992		terminal	1.79297e-05	100.0	HIGH	-81	NA	NA	China	Heilongjiang	2.ANT	2.ANT3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	48.00000470000001	127.999992	POINT (127.999992 48.00000470000001)	2.0	75.7261955282	0.0	NA	NA	NA	0.0	0.0	0.0	1940.0	1940.0	0.0001092573	142.0	0.0001092573	#80ffb4	5047.080899999999	142.0	1940.0	0.0	0.0	China (1940.0) Harbin35	China (1940.0) Harbin35	0.0001092573	5.59126e-05
GCA_000169615.1_ASM16961v1_genomic	UG05-0454	2004.0	-17	Uganda	NA	1.5333553999999998	32.2166578	NA	NA	Antiqua	1.ANT	1.ANT1	SAMN02404404	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	1.0	Africa	2004.0	17.0	0.0	1.5333553999999998	32.2166578		terminal	2.3591e-06	100.0	HIGH	-17	NA	NA	Uganda	Uganda	1.ANT	1.ANT1	1.0	1.0	1.0	0.15	0.14623985692437794	0.14623985692437794	1.0	1.0	1.5333553999999998	32.2166578	1.5333553999999998	32.2166578	POINT (32.2166578 1.5333554)	1.0	9.9636730046	50.0	NA	NA	NA	0.199273460092	60.39643538073841	12.035406655542634	2004.0	2004.0	7.53639e-05	74.0	7.53639e-05	#ff964f	5111.081899999999	74.0	2004.0	0.0	0.0	Uganda (2004.0) UG05-0454	Uganda (2004.0) UG05-0454	7.53639e-05	2.30344e-05
GCA_000169635.1_ASM16963v1_genomic	MG05-1020	2005.0	-16	Madagascar	NA	-18.9249604	46.4416422	NA	NA	Orientalis	1.ORI	1.ORI3	SAMN02404403	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 Placement	1.0	Africa	2005.0	16.0	0.0	-18.9249604	46.4416422		terminal	3.0669e-06	100.0	HIGH	-16	NA	NA	Madagascar	Madagascar	1.ORI	1.ORI3	1.0	1.0	1.0	0.12	0.12353733826991535	0.12353733826991535	1.0	1.0	-18.9249604	46.4416422	-18.9249604	46.4416422	POINT (46.4416422 -18.9249604)	2.0	12.9530705514	239.734	NA	NA	NA	0.05403101166876621	24.23346051231496	1.3093583877154749	2005.0	2005.0	6.571199999999998e-05	88.0	6.571199999999998e-05	#ff0000	5112.0808	88.0	2005.0	0.0	0.0	Madagascar (2005.0) MG05-1020	Madagascar (2005.0) MG05-1020	6.571199999999998e-05	5.0817e-06
GCA_000169675.1_ASM16967v1_genomic	B42003004	2003.0	-18	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT2	SAMN02404401	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	0.0	Asia	2003.0	18.0	0.0	42.4804953	85.4633464		terminal	3.0669e-06	100.0	HIGH	-18	NA	NA	China	Xinjiang	0.ANT	0.ANT2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	8.0	12.9530705514	747.951	NA	NA	NA	0.017318073712582774	0.0	0.0	2003.0	2003.0	4.9522800000000006e-05	46.0	4.9522800000000006e-05	#1996f3	5110.0818	46.0	2003.0	0.0	0.0	China (2003.0) B42003004	China (2003.0) B42003004	4.9522800000000006e-05	1.06176e-05
GCA_000168235.2_ASM16823v2_genomic	IP275	1995.0	-26	Madagascar	Province de Fianarantsoa	-18.9249604	46.4416422	-21.743247	46.6145685	Orientalis	1.ORI	1.ORI3	SAMN02404398	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019	1.0	Africa	1995.0	26.0	0.0	-21.743247	46.6145685		terminal	3.0669e-06	100.0	HIGH	-26	NA	NA	Madagascar	Province de Fianarantsoa	1.ORI	1.ORI3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-18.9249604	46.4416422	-21.743247	46.6145685	POINT (46.6145685 -21.743247)	1.0	12.9530705514	229.734	NA	NA	NA	0.05638290610619238	0.0	0.0	1995.0	1995.0	6.573559999999998e-05	89.0	6.573559999999998e-05	#ff0000	5102.0808	89.0	1995.0	0.0	0.0	Madagascar (1995.0) IP275	Madagascar (1995.0) IP275	6.573559999999998e-05	5.1053e-06
GCA_000182525.1_ASM18252v1_genomic	PEXU2	1966.0	-55	Brazil	State of Mato Grosso	-10.3333333	-53.2	-12.2115009	-55.5716547	Orientalis	1.ORI	1.ORI1	SAMN02403943	KEEP: Assembly Modern	1.0	South America	1966.0	55.0	0.0	-12.2115009	-55.5716547		terminal	7.7852e-06	100.0	HIGH	-55	NA	NA	Brazil	State of Mato Grosso	1.ORI	1.ORI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-10.3333333	-53.2	-12.2115009	-55.5716547	POINT (-55.5716547 -12.2115009)	1.0	32.8808389112	359.647	NA	NA	NA	0.0914253112390761	276.55325056452097	25.28396700703953	1966.0	1966.0	6.898169999999998e-05	95.0	6.898169999999998e-05	#ff0000	5073.080599999999	95.0	1966.0	0.0	0.0	Brazil (1966.0) PEXU2	Brazil (1966.0) PEXU2	6.898169999999998e-05	8.3514e-06
GCA_000182505.1_ASM18250v1_genomic	India195	[1898:1950]	[-123:-71]	India	Maharashtra	22.3511148	78.6677428	18.906835600000004	75.6741579	Orientalis	1.ORI	1.ORI1	SAMN02403942	KEEP: Assembly Modern Cui 2013 Keller 2019	1.0	Asia	1924.0	97.0	26.0	18.906835600000004	75.6741579		terminal	3.0669e-06	100.0	HIGH	-123	{71,123}	{-123,-71}	India	Maharashtra	1.ORI	1.ORI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	22.3511148	78.6677428	18.906835600000004	75.6741579	POINT (75.6741579 18.9068356)	2.0	12.9530705514	291.647	NA	NA	NA	0.044413522345163846	0.0	0.0	1898.0	1950.0	6.369719999999998e-05	86.0	6.369719999999998e-05	#ff0000	5005.080599999999	86.0	1898.0	0.0	52.0	India (1898:1950) India195	India (1898:1950) India195	6.369719999999998e-05	3.0669e-06
GCA_006376585.1_ASM637658v1_genomic	C-371	1978.0	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN12012142	KEEP: Assembly Modern	0.0	Europe	1978.0	43.0	0.0	43.0883099	47.14988017944229		terminal	2.36e-08	100.0	HIGH	-43	NA	NA	Russia	Republic of Dagestan	0.PE	0.PE2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)	3.0	0.09967474159999999	38.9823	NA	NA	NA	0.0025569230548223164	0.0	0.0	1978.0	1978.0	7.01509e-05	10.0	7.01509e-05	#4c4ffc	5085.0803	10.0	1978.0	0.0	0.0	Russia (1978.0) C-371	Russia (1978.0) C-371	7.01509e-05	6.813429999999999e-05
GCA_006376575.1_ASM637657v1_genomic	C-284	1971.0	-50	Russia	Karachay-Cherkessia	64.6863136	97.7453061	43.7368326	41.7267991	Medievalis	2.MED	2.MED0	SAMN12012133	KEEP: Assembly Modern	2.0	Europe	1971.0	50.0	0.0	43.7368326	41.7267991		terminal	1.1796e-06	100.0	HIGH	-50	NA	NA	Russia	Karachay-Cherkessia	2.MED	2.MED0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	43.7368326	41.7267991	POINT (41.7267991 43.7368326)	2.0	4.9820476776	411.296	NA	NA	NA	0.012113046753676185	0.0	0.0	1971.0	1971.0	6.85556e-05	145.0	6.85556e-05	#b3f396	5078.0819	145.0	1971.0	0.0	0.0	Russia (1971.0) C-284	Russia (1971.0) C-284	6.85556e-05	1.02567e-05
GCA_006376505.1_ASM637650v1_genomic	C-232	1968.0	-53	Azerbaijan	Shahbuz Rayon	40.3936294	47.7872508	39.43858165	45.60713327015354	Caucasica	0.PE	0.PE2	SAMN12011946	KEEP: Assembly Modern	0.0	Asia	1968.0	53.0	0.0	39.43858165	45.60713327015354		terminal	3.3028e-06	100.0	HIGH	-53	NA	NA	Azerbaijan	Shahbuz Rayon	0.PE	0.PE2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	40.3936294	47.7872508	39.43858165	45.60713327015354	POINT (45.60713327015354 39.43858165)	1.0	13.9493956168	112.249	NA	NA	NA	0.1242718921041613	0.0	0.0	1968.0	1968.0	8.07964e-05	18.0	8.07964e-05	#4c4ffc	5075.084599999999	18.0	1968.0	0.0	0.0	Azerbaijan (1968.0) C-232	Azerbaijan (1968.0) C-232	8.07964e-05	7.87798e-05
GCA_006376435.1_ASM637643v1_genomic	C-62	1959.0	-62	Azerbaijan	Shamkir District	40.3936294	47.7872508	40.86764505	46.01391106445903	Medievalis	2.MED	2.MED1	SAMN12011893	KEEP: Assembly Modern	2.0	Asia	1959.0	62.0	0.0	40.86764505	46.01391106445903		terminal	1.8873e-06	100.0	HIGH	-62	NA	NA	Azerbaijan	Shamkir District	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	40.3936294	47.7872508	40.86764505	46.01391106445903	POINT (46.01391106445903 40.86764505)	1.0	7.9710228738	199.024	NA	NA	NA	0.04005056110720315	0.0	0.0	1959.0	1959.0	6.895089999999998e-05	169.0	6.895089999999998e-05	#b3f396	5066.08152	169.0	1959.0	0.0	0.0	Azerbaijan (1959.0) C-62	Azerbaijan (1959.0) C-62	6.895089999999998e-05	1.0652e-05
GCA_006376415.1_ASM637641v1_genomic	C-11	1950.0	-71	Russia	Stavropol Krai	64.6863136	97.7453061	44.86325770000001	43.4406913	Medievalis	2.MED	2.MED1	SAMN12011892	KEEP: Assembly Modern	2.0	Europe	1950.0	71.0	0.0	44.86325770000001	43.4406913		terminal	1.4155e-06	100.0	HIGH	-71	NA	NA	Russia	Stavropol Krai	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	44.86325770000001	43.4406913	POINT (43.4406913 44.86325770000001)	1.0	5.978372743	127.396	NA	NA	NA	0.04692747608245157	0.0	0.0	1950.0	1950.0	6.918679999999997e-05	170.0	6.918679999999997e-05	#b3f396	5057.080819999999	170.0	1950.0	0.0	0.0	Russia (1950.0) C-11	Russia (1950.0) C-11	6.918679999999997e-05	1.0887900000000001e-05
GCA_003086155.1_ASM308615v1_genomic	M-1448	1990.0	-31	Kazakhstan	West Kazakhstan Region	47.2286086	65.20931970000001	49.5568479	50.2227409	Medievalis	2.MED	2.MED1	SAMN05017638	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2.0	Asia	1990.0	31.0	0.0	49.5568479	50.2227409		terminal	2.36e-08	100.0	HIGH	-31	NA	NA	Kazakhstan	West Kazakhstan Region	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	47.2286086	65.20931970000001	49.5568479	50.2227409	POINT (50.2227409 49.5568479)	2.0	0.09967474159999999	0.0	NA	NA	NA	0.0	0.0	0.0	1990.0	1990.0	6.854979999999997e-05	189.0	6.854979999999997e-05	#b3f396	5097.081159999999	189.0	1990.0	0.0	0.0	Kazakhstan (1990.0) M-1448	Kazakhstan (1990.0) M-1448	6.854979999999997e-05	1.0250899999999995e-05
GCA_001617705.1_Yersinia_pestis_C-791_genomic	C-791	2003.0	-18	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Medievalis	2.MED	2.MED1	SAMN04376023	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2.0	Europe	2003.0	18.0	0.0	43.0883099	47.14988017944229		terminal	2.36e-08	100.0	HIGH	-18	NA	NA	Russia	Republic of Dagestan	2.MED	2.MED1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.6863136	97.7453061	43.0883099	47.14988017944229	POINT (47.14988017944229 43.0883099)	3.0	0.09967474159999999	19.7787	NA	NA	NA	0.0050394991379615435	3792.4428189943783	19.112012317090617	2003.0	2003.0	6.760609999999997e-05	193.0	6.760609999999997e-05	#b3f396	5110.081119999998	193.0	2003.0	0.0	0.0	Russia (2003.0) C-791	Russia (2003.0) C-791	6.760609999999997e-05	9.307199999999996e-06
