sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	library_layout	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	population_color	population	geometry	root_rtt_dist	population_rtt_dist
GCA_009669725.1_ASM966972v1_genomic	42102	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722917	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	?	2.0	247.0	136.0	60.0	2.26667	0.0	0.0	266.0	247.0	19.0	0.07142860000000001	2.347e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.521069999999994e-05	1.2994500000000014e-05
GCA_009669715.1_ASM966971v1_genomic	42099	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722916	KEEP: Assembly Modern	0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	?	2.045	244.0	138.0	59.0	2.33898	0.0	0.0	261.0	244.0	17.0	0.0651341	1.6429e-06	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5609299999999976e-05	1.3393100000000006e-05
GCA_009669705.1_ASM966970v1_genomic	42098	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722915	KEEP: Assembly Modern	0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	?	2.131	242.0	131.0	64.0	2.04688	0.0	0.0	269.0	242.0	27.0	0.100372	4.694e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4529499999999994e-05	1.2313300000000001e-05
GCA_009669775.1_ASM966977v1_genomic	42094	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722914	KEEP: Assembly Modern	0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	?	2.035	237.0	132.0	59.0	2.2372900000000002	0.0	0.0	259.0	237.0	22.0	0.0849421	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.3919399999999984e-05	1.1703200000000005e-05
GCA_009669765.1_ASM966976v1_genomic	42093	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722913	KEEP: Assembly Modern	0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	?	1.966	236.0	134.0	57.0	2.35088	0.0	0.0	256.0	236.0	20.0	0.078125	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05
GCA_009669805.1_ASM966980v1_genomic	42092	1980.0	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722912	KEEP: Assembly Modern	0	Asia	1980.0	41.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	?	2.0580000000000003	244.0	135.0	61.0	2.21311	0.0	0.0	275.0	244.0	31.0	0.112727	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4224599999999975e-05	1.2008400000000007e-05
GCA_009669825.1_ASM966982v1_genomic	42090	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722911	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Oropsylla silantiewi	Siphonaptera	?	2.022	243.0	133.0	62.0	2.1451599999999997	1.0	0.016128999999999998	255.0	243.0	12.0	0.047058800000000005	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.490519999999998e-05	1.2689000000000005e-05
GCA_009669835.1_ASM966983v1_genomic	42089	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722910	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Anoplura	Phthiraptera	?	2.0340000000000003	241.0	135.0	59.0	2.2881400000000003	0.0	0.0	259.0	241.0	18.0	0.06949810000000001	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05
GCA_009669845.1_ASM966984v1_genomic	42088	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722909	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Ixodex crenulatus	Ixodida	?	2.08	244.0	134.0	60.0	2.23333	0.0	0.0	263.0	244.0	19.0	0.0722433	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.445959999999995e-05	1.2243400000000014e-05
GCA_009669875.1_ASM966987v1_genomic	42086	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722908	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Neopsylla mana Wagn	Siphonaptera	?	2.024	235.0	131.0	57.0	2.29825	0.0	0.0	255.0	235.0	20.0	0.0784314	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.443609999999995e-05	1.2219900000000013e-05
GCA_009669905.1_ASM966990v1_genomic	42085	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722907	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	1.989	246.0	137.0	60.0	2.28333	1.0	0.0166667	263.0	246.0	17.0	0.06463880000000001	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.445959999999995e-05	1.2243400000000014e-05
GCA_009669955.1_ASM966995v1_genomic	42084	2000.0	-21	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722906	KEEP: Assembly Modern	0	Asia	2000.0	21.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.148	234.0	130.0	56.0	2.32143	0.0	0.0	251.0	234.0	17.0	0.0677291	2.347e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.450629999999997e-05	1.2290100000000008e-05
GCA_009669925.1_ASM966992v1_genomic	42083	1999.0	-22	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722905	KEEP: Assembly Modern	0	Asia	1999.0	22.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.035	239.0	134.0	58.0	2.31034	0.0	0.0	258.0	239.0	19.0	0.0736434	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05
GCA_009669935.1_ASM966993v1_genomic	42081	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722904	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.0340000000000003	243.0	134.0	59.0	2.2711900000000003	1.0	0.0169492	260.0	243.0	17.0	0.0653846	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.462349999999998e-05	1.2407300000000004e-05
GCA_009669975.1_ASM966997v1_genomic	42080	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722903	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.061	231.0	129.0	56.0	2.30357	0.0	0.0	246.0	231.0	15.0	0.0609756	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.3895899999999987e-05	1.1679700000000004e-05
GCA_009670005.1_ASM967000v1_genomic	42079	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722902	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	1.91	238.0	133.0	59.0	2.2542400000000002	0.0	0.0	264.0	238.0	26.0	0.09848480000000001	2.347e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.438879999999998e-05	1.2172600000000004e-05
GCA_009670045.1_ASM967004v1_genomic	42078	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722901	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	?	2.0469999999999997	239.0	132.0	60.0	2.2	0.0	0.0	264.0	239.0	25.0	0.094697	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.464699999999998e-05	1.2430800000000005e-05
GCA_009670015.1_ASM967001v1_genomic	42077	1994.0	-27	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722900	KEEP: Assembly Modern	0	Asia	1994.0	27.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	?	2.023	239.0	132.0	61.0	2.16393	0.0	0.0	258.0	239.0	19.0	0.0736434	2.347e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.410709999999999e-05	1.1890900000000003e-05
GCA_009670055.1_ASM967005v1_genomic	42075	1993.0	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722899	KEEP: Assembly Modern	0	Asia	1993.0	28.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	?	1.956	245.0	134.0	63.0	2.12698	0.0	0.0	278.0	245.0	33.0	0.11870499999999999	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4365299999999986e-05	1.2149100000000004e-05
GCA_009670075.1_ASM967007v1_genomic	42074	1993.0	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722898	KEEP: Assembly Modern	0	Asia	1993.0	28.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	1.989	241.0	132.0	60.0	2.2	0.0	0.0	261.0	241.0	20.0	0.0766284	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.396639999999998e-05	1.1750200000000007e-05
GCA_009670115.1_ASM967011v1_genomic	42072	1992.0	-29	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722897	KEEP: Assembly Modern	0	Asia	1992.0	29.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla luculenta	Siphonaptera	?	1.989	250.0	138.0	61.0	2.2623	1.0	0.016393400000000002	267.0	250.0	17.0	0.0636704	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.434179999999999e-05	1.2125600000000003e-05
GCA_009667895.1_ASM966789v1_genomic	42071	1991.0	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722896	KEEP: Assembly Modern	0	Asia	1991.0	30.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.023	240.0	130.0	57.0	2.2807	5.0	0.0877193	263.0	240.0	23.0	0.0874525	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.396639999999998e-05	1.1750200000000007e-05
GCA_009670135.1_ASM967013v1_genomic	42070	1991.0	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722895	KEEP: Assembly Modern	0	Asia	1991.0	30.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.1109999999999998	235.0	130.0	56.0	2.32143	1.0	0.0178571	251.0	235.0	16.0	0.06374500000000001	2.347e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.39896e-05	1.17734e-05
GCA_009670155.1_ASM967015v1_genomic	42069	1991.0	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722894	KEEP: Assembly Modern	0	Asia	1991.0	30.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.035	239.0	130.0	61.0	2.13115	0.0	0.0	255.0	239.0	16.0	0.0627451	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.387239999999999e-05	1.1656200000000004e-05
GCA_009670105.1_ASM967010v1_genomic	42068	1989.0	-32	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722893	KEEP: Assembly Modern	0	Asia	1989.0	32.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	?	2.0	240.0	134.0	59.0	2.2711900000000003	0.0	0.0	260.0	240.0	20.0	0.07692310000000001	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05
GCA_009670185.1_ASM967018v1_genomic	42065	1988.0	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722892	KEEP: Assembly Modern	0	Asia	1988.0	33.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	1.955	240.0	135.0	57.0	2.36842	0.0	0.0	268.0	240.0	28.0	0.104478	4.694e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.546889999999994e-05	1.3252700000000015e-05
GCA_009670205.1_ASM967020v1_genomic	42064	1988.0	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722891	KEEP: Assembly Modern	0	Asia	1988.0	33.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	?	1.9240000000000002	246.0	134.0	61.0	2.19672	0.0	0.0	278.0	246.0	32.0	0.11510799999999999	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05
GCA_009670225.1_ASM967022v1_genomic	42063	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722890	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.092	245.0	134.0	59.0	2.2711900000000003	0.0	0.0	261.0	245.0	16.0	0.061302699999999995	4.694e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.546889999999994e-05	1.3252700000000015e-05
GCA_009670235.1_ASM967023v1_genomic	42062	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722889	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	2.045	244.0	133.0	60.0	2.21667	0.0	0.0	260.0	244.0	16.0	0.061538499999999996	2.347e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.521069999999994e-05	1.2994500000000014e-05
GCA_009670245.1_ASM967024v1_genomic	42061	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722888	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	?	2.056	243.0	136.0	57.0	2.38596	1.0	0.0175439	260.0	243.0	17.0	0.0653846	4.694e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.42243e-05	1.20081e-05
GCA_009667925.1_ASM966792v1_genomic	42060	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722887	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Rhadinopsylla li ventricosa	Siphonaptera	?	2.023	238.0	133.0	58.0	2.2931	0.0	0.0	267.0	238.0	29.0	0.10861400000000002	2.35e-08	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4952499999999945e-05	1.2736300000000014e-05
GCA_009670285.1_ASM967028v1_genomic	42059	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722886	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	?	1.881	250.0	136.0	59.0	2.30508	1.0	0.0169492	272.0	250.0	22.0	0.0808824	2.347e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.521069999999994e-05	1.2994500000000014e-05
GCA_009670305.1_ASM967030v1_genomic	42058	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722885	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	?	1.989	245.0	136.0	59.0	2.30508	0.0	0.0	262.0	245.0	17.0	0.0648855	4.694e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.537489999999995e-05	1.3158700000000012e-05
GCA_009670345.1_ASM967034v1_genomic	42057	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722884	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	?	1.9680000000000002	247.0	133.0	61.0	2.18033	0.0	0.0	264.0	247.0	17.0	0.06439389999999999	0.0	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4154099999999984e-05	1.1937900000000005e-05
GCA_009667935.1_ASM966793v1_genomic	42056	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722883	KEEP: Assembly Modern	0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	?	1.956	244.0	135.0	60.0	2.25	0.0	0.0	274.0	244.0	30.0	0.10948900000000002	9.388e-07	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5327899999999955e-05	1.3111700000000012e-05
