sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	branch_support_char	node_type	branch_length	branch_support	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_branch_major	mugration_branch_minor	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_branch_major_confidence	mugration_branch_minor_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	geometry	geometry_size	branch_length_sub	branch_length_time	sub_rate	geo_rate_sub	geo_rate_time	rate_sub	rate_sub_year	rate_geo_sub	rate_geo_time	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	branch_major_color	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain	root_rtt_dist	clade_rtt_dist
GCA_009669725.1_ASM966972v1_genomic	42102	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722917	KEEP: Assembly Modern	0.0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.356e-07	100.0	HIGH	-34	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.9963754887999999	16.2672	NA	NA	NA	1.4483131700599981e-08	0.06125058330874397	0.0	0.0	1987.0	1987.0	5.526899999999994e-05	179.0	5.526899999999994e-05	#1996f3	5243.917113	179.0	1987.0	0.0	0.0	China (1987.0) 42102	China (1987.0) 42102	5.526899999999994e-05	1.264089999999998e-05
GCA_009669715.1_ASM966971v1_genomic	42099	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722916	KEEP: Assembly Modern	0.0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human		terminal	1.6489e-06	100.0	HIGH	-35	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	6.9733596922	43.0872	NA	NA	NA	3.826890584674799e-08	0.16184295317867023	0.0	0.0	1986.0	1986.0	5.5456399999999986e-05	108.0	5.5456399999999986e-05	#1996f3	5242.917279999999	108.0	1986.0	0.0	0.0	China (1986.0) 42099	China (1986.0) 42099	5.5456399999999986e-05	1.2828299999999997e-05
GCA_009669705.1_ASM966970v1_genomic	42098	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722915	KEEP: Assembly Modern	0.0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human		terminal	4.711e-07	100.0	HIGH	-35	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	1.9923280678	30.0008	NA	NA	NA	1.5702914588944292e-08	0.06640916468227513	0.0	0.0	1986.0	1986.0	5.456139999999999e-05	135.0	5.456139999999999e-05	#1996f3	5242.917189	135.0	1986.0	0.0	0.0	China (1986.0) 42098	China (1986.0) 42098	5.456139999999999e-05	1.1933299999999995e-05
GCA_009669775.1_ASM966977v1_genomic	42094	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722914	KEEP: Assembly Modern	0.0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-38	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	16.0795	NA	NA	NA	1.4677073292079977e-09	0.006207078130538886	0.0	0.0	1983.0	1983.0	5.392549999999998e-05	116.0	5.392549999999998e-05	#1996f3	5239.9172899999985	116.0	1983.0	0.0	0.0	China (1983.0) 42094	China (1983.0) 42094	5.392549999999998e-05	1.1297399999999993e-05
GCA_009669765.1_ASM966976v1_genomic	42093	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722913	KEEP: Assembly Modern	0.0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-38	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	11.0	NA	NA	NA	2.1454545454545454e-09	0.009073337527272728	0.0	0.0	1983.0	1983.0	5.4113899999999983e-05	137.0	5.4113899999999983e-05	#1996f3	5239.917189	137.0	1983.0	0.0	0.0	China (1983.0) 42093	China (1983.0) 42093	5.4113899999999983e-05	1.1485799999999994e-05
GCA_009669805.1_ASM966980v1_genomic	42092	1980.0	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722912	KEEP: Assembly Modern	0.0	Asia	1980.0	41.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-41	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	10.9004	NA	NA	NA	2.1650581630031926e-09	0.009156243147040477	0.0	0.0	1980.0	1980.0	5.4208299999999974e-05	154.0	5.4208299999999974e-05	#1996f3	5236.917189000001	154.0	1980.0	0.0	0.0	China (1980.0) 42092	China (1980.0) 42092	5.4208299999999974e-05	1.1580199999999991e-05
GCA_009669825.1_ASM966982v1_genomic	42090	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722911	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-20	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	0.698632	NA	NA	NA	3.3780302076057205e-08	0.1428602079492494	0.0	0.0	2001.0	2001.0	5.498569999999997e-05	128.0	5.498569999999997e-05	#1996f3	5257.9172819999985	128.0	2001.0	0.0	0.0	China (2001.0) 42090	China (2001.0) 42090	5.498569999999997e-05	1.2357599999999988e-05
GCA_009669835.1_ASM966983v1_genomic	42089	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722910	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human		terminal	0.0	100.0	HIGH	-20	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0	4.23246	NA	NA	NA	0.0	0.0	0.0	0.0	2001.0	2001.0	5.4184699999999976e-05	153.0	5.4184699999999976e-05	#1996f3	5257.9170890000005	153.0	2001.0	0.0	0.0	China (2001.0) 42089	China (2001.0) 42089	5.4184699999999976e-05	1.1556599999999992e-05
GCA_009669845.1_ASM966984v1_genomic	42088	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722909	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-20	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	27.896	NA	NA	NA	8.459994264410668e-10	0.0035778144823630626	0.0	0.0	2001.0	2001.0	5.4302699999999964e-05	158.0	5.4302699999999964e-05	#1996f3	5257.917149	158.0	2001.0	0.0	0.0	China (2001.0) 42088	China (2001.0) 42088	5.4302699999999964e-05	1.1674599999999988e-05
GCA_009669875.1_ASM966987v1_genomic	42086	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722908	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-20	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	31.9004	NA	NA	NA	7.398026357036275e-10	0.00312869784704894	0.0	0.0	2001.0	2001.0	5.413749999999998e-05	146.0	5.413749999999998e-05	#1996f3	5257.917189000001	146.0	2001.0	0.0	0.0	China (2001.0) 42086	China (2001.0) 42086	5.413749999999998e-05	1.1509399999999994e-05
GCA_009669905.1_ASM966990v1_genomic	42085	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722907	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-20	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	31.9004	NA	NA	NA	7.398026357036275e-10	0.00312869784704894	0.0	0.0	2001.0	2001.0	5.416109999999998e-05	147.0	5.416109999999998e-05	#1996f3	5257.917189000001	147.0	2001.0	0.0	0.0	China (2001.0) 42085	China (2001.0) 42085	5.416109999999998e-05	1.1532999999999993e-05
GCA_009669955.1_ASM966995v1_genomic	42084	2000.0	-21	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722906	KEEP: Assembly Modern	0.0	Asia	2000.0	21.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.356e-07	100.0	HIGH	-21	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.9963754887999999	19.3832	NA	NA	NA	1.2154855751372322e-08	0.05140407614841719	0.0	0.0	2000.0	2000.0	5.470349999999995e-05	172.0	5.470349999999995e-05	#1996f3	5256.917189000001	172.0	2000.0	0.0	0.0	China (2000.0) 42084	China (2000.0) 42084	5.470349999999995e-05	1.2075399999999983e-05
GCA_009669925.1_ASM966992v1_genomic	42083	1999.0	-22	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722905	KEEP: Assembly Modern	0.0	Asia	1999.0	22.0	0.0	42.4804953	85.4633464	Non-Human		terminal	0.0	100.0	HIGH	-22	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0	16.0	NA	NA	NA	0.0	0.0	0.0	0.0	1999.0	1999.0	5.4184699999999976e-05	149.0	5.4184699999999976e-05	#1996f3	5255.917129	149.0	1999.0	0.0	0.0	China (1999.0) 42083	China (1999.0) 42083	5.4184699999999976e-05	1.1556599999999992e-05
GCA_009669935.1_ASM966993v1_genomic	42081	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722904	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-26	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	2.07824	NA	NA	NA	1.1355762568327046e-08	0.04802463276618677	0.0	0.0	1995.0	1995.0	5.472659999999997e-05	123.0	5.472659999999997e-05	#1996f3	5251.9172899999985	123.0	1995.0	0.0	0.0	China (1995.0) 42081	China (1995.0) 42081	5.472659999999997e-05	1.209849999999999e-05
GCA_009669975.1_ASM966997v1_genomic	42080	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722903	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-26	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	37.7649	NA	NA	NA	6.249189061800773e-10	0.0026428432962883525	0.0	0.0	1995.0	1995.0	5.383109999999999e-05	110.0	5.383109999999999e-05	#1996f3	5251.917279999999	110.0	1995.0	0.0	0.0	China (1995.0) 42080	China (1995.0) 42080	5.383109999999999e-05	1.1202999999999996e-05
GCA_009670005.1_ASM967000v1_genomic	42079	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722902	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.356e-07	100.0	HIGH	-26	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.9963754887999999	21.8883	NA	NA	NA	1.0763741359539114e-08	0.045520917056144146	0.0	0.0	1995.0	1995.0	5.437309999999998e-05	139.0	5.437309999999998e-05	#1996f3	5251.917229	139.0	1995.0	0.0	0.0	China (1995.0) 42079	China (1995.0) 42079	5.437309999999998e-05	1.1744999999999993e-05
GCA_009670045.1_ASM967004v1_genomic	42078	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722901	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-26	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	0.0	NA	NA	NA	0.0	0.0	0.0	0.0	1995.0	1995.0	5.475019999999997e-05	125.0	5.475019999999997e-05	#1996f3	5251.9172899999985	125.0	1995.0	0.0	0.0	China (1995.0) 42078	China (1995.0) 42078	5.475019999999997e-05	1.2122099999999989e-05
GCA_009670015.1_ASM967001v1_genomic	42077	1994.0	-27	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722900	KEEP: Assembly Modern	0.0	Asia	1994.0	27.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.356e-07	100.0	HIGH	-27	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.9963754887999999	36.7649	NA	NA	NA	6.408286164249053e-09	0.02710127020065334	0.0	0.0	1994.0	1994.0	5.4090299999999986e-05	111.0	5.4090299999999986e-05	#1996f3	5250.917279999999	111.0	1994.0	0.0	0.0	China (1994.0) 42077	China (1994.0) 42077	5.4090299999999986e-05	1.1462199999999995e-05
GCA_009670055.1_ASM967005v1_genomic	42075	1993.0	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722899	KEEP: Assembly Modern	0.0	Asia	1993.0	28.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-28	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	6.66703	NA	NA	NA	3.539807080514112e-09	0.014970191044588072	0.0	0.0	1993.0	1993.0	5.449099999999997e-05	121.0	5.449099999999997e-05	#1996f3	5249.917279999999	121.0	1993.0	0.0	0.0	China (1993.0) 42075	China (1993.0) 42075	5.449099999999997e-05	1.186289999999999e-05
GCA_009670075.1_ASM967007v1_genomic	42074	1993.0	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722898	KEEP: Assembly Modern	0.0	Asia	1993.0	28.0	0.0	42.4804953	85.4633464	Non-Human		terminal	2.36e-08	100.0	HIGH	-28	NA	NA	China	Xinjiang	0.ANT	0.ANT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.000074	104.999927	42.4804953	85.4633464	POINT (85.46334640000001 42.4804953)	105.0	0.0998067128	26.0795	NA	NA	NA	9.04925324488583e-10	0.0038270178799440177	0.0	0.0	1993.0	1993.0	5.390189999999998e-05	115.0	5.390189999999998e-05	#1996f3	5249.9172899999985	115.0	1993.0	0.0	0.0	China (1993.0) 42074	China (1993.0) 42074	5.390189999999998e-05	1.1273799999999994e-05
