sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	population_color	population	geometry	root_rtt_dist	clade_rtt_dist	population_rtt_dist	node_type	branch_length	branch_support	branch_support_conf_char	branch_support_conf_category	timetree_date	timetree_CI_height	timetree_CI_date	mugration_country	mugration_province	mugration_continent	mugration_host_order	mugration_population	mugration_country_confidence	mugration_country_lat_confidence	mugration_country_lon_confidence	mugration_province_confidence	mugration_province_lat_confidence	mugration_province_lon_confidence	mugration_continent_confidence	mugration_host_order_confidence	mugration_population_confidence	mugration_country_lat	mugration_country_lon	mugration_province_lat	mugration_province_lon	branch_length_sub	branch_length_time	rate_sub	rate_sub_year	date_lower	date_upper	divtree_coord_x	divtree_coord_y	rtt_dist	timetree_coord_x	timetree_coord_y	timetree_date_calendar	timetree_CI_lower_err	timetree_CI_upper_err	country_date_strain	province_date_strain
GCA_009669725.1_ASM966972v1_genomic	42102	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722917	KEEP: Assembly Modern	0.0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.526899999999994e-05	NA	1.2640899999999981e-05	terminal	2.356e-07	0.0		LOW	-34	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.9963754887999999	16.2681	1.4482330450390642e-08	0.06124719474308616	1987.0	1987.0	5.526899999999994e-05	179.0	5.526899999999994e-05	5244.005760000001	179.0	1987.0	0.0	0.0	China (1987.0) 42102	China (1987.0) 42102
GCA_009669715.1_ASM966971v1_genomic	42099	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722916	KEEP: Assembly Modern	0.0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5456399999999986e-05	NA	1.2828299999999995e-05	terminal	1.6489e-06	0.0		LOW	-35	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	6.9733596922	43.0892	3.8267129582354745e-08	0.16183544118247728	1986.0	1986.0	5.5456399999999986e-05	108.0	5.5456399999999986e-05	5243.005730000002	108.0	1986.0	0.0	0.0	China (1986.0) 42099	China (1986.0) 42099
GCA_009669705.1_ASM966970v1_genomic	42098	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722915	KEEP: Assembly Modern	0.0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.456139999999999e-05	NA	1.1933299999999995e-05	terminal	4.711e-07	0.0		LOW	-35	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	1.9923280678	30.0019	1.5702338851872714e-08	0.0664067298337772	1986.0	1986.0	5.456139999999999e-05	135.0	5.456139999999999e-05	5243.005652000001	135.0	1986.0	0.0	0.0	China (1986.0) 42098	China (1986.0) 42098
GCA_009669775.1_ASM966977v1_genomic	42094	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722914	KEEP: Assembly Modern	0.0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.3925499999999984e-05	NA	1.1297399999999993e-05	terminal	2.36e-08	0.0		LOW	-38	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	16.0803	1.4676343103051558e-09	0.006206769326442914	1983.0	1983.0	5.392549999999998e-05	116.0	5.392549999999998e-05	5240.00578	116.0	1983.0	0.0	0.0	China (1983.0) 42094	China (1983.0) 42094
GCA_009669765.1_ASM966976v1_genomic	42093	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722913	KEEP: Assembly Modern	0.0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4113899999999983e-05	NA	1.1485799999999996e-05	terminal	2.36e-08	0.0		LOW	-38	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	11.0	2.1454545454545454e-09	0.009073337527272728	1983.0	1983.0	5.4113899999999983e-05	137.0	5.4113899999999983e-05	5240.005652000001	137.0	1983.0	0.0	0.0	China (1983.0) 42093	China (1983.0) 42093
GCA_009669805.1_ASM966980v1_genomic	42092	1980.0	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722912	KEEP: Assembly Modern	0.0	Asia	1980.0	41.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.420829999999997e-05	NA	1.1580199999999993e-05	terminal	2.36e-08	0.0		LOW	-41	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	10.9013	2.164879418051058e-09	0.009155487217120893	1980.0	1980.0	5.4208299999999974e-05	154.0	5.4208299999999974e-05	5237.005752000001	154.0	1980.0	0.0	0.0	China (1980.0) 42092	China (1980.0) 42092
GCA_009669825.1_ASM966982v1_genomic	42090	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722911	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Oropsylla silantiewi	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.498569999999998e-05	NA	1.2357599999999988e-05	terminal	2.36e-08	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	0.698685	3.3777739610840364e-08	0.14284937103272577	2001.0	2001.0	5.498569999999997e-05	128.0	5.498569999999997e-05	5258.005785	128.0	2001.0	0.0	0.0	China (2001.0) 42090	China (2001.0) 42090
GCA_009669835.1_ASM966983v1_genomic	42089	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722910	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Anoplura	Phthiraptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.418469999999998e-05	NA	1.1556599999999992e-05	terminal	0.0	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Phthiraptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0	4.23246	0.0	0.0	2001.0	2001.0	5.4184699999999976e-05	153.0	5.4184699999999976e-05	5258.005722000001	153.0	2001.0	0.0	0.0	China (2001.0) 42089	China (2001.0) 42089
GCA_009669845.1_ASM966984v1_genomic	42088	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722909	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Ixodex crenulatus	Ixodida	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.430269999999997e-05	NA	1.1674599999999988e-05	terminal	2.36e-08	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Ixodida	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	27.8968	8.459751656103926e-10	0.0035777118809325803	2001.0	2001.0	5.4302699999999964e-05	158.0	5.4302699999999964e-05	5258.005672000001	158.0	2001.0	0.0	0.0	China (2001.0) 42088	China (2001.0) 42088
GCA_009669875.1_ASM966987v1_genomic	42086	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722908	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Neopsylla mana Wagn	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.413749999999998e-05	NA	1.1509399999999995e-05	terminal	2.36e-08	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	31.9013	7.39781764379508e-10	0.0031286095801738487	2001.0	2001.0	5.413749999999998e-05	146.0	5.413749999999998e-05	5258.005752000001	146.0	2001.0	0.0	0.0	China (2001.0) 42086	China (2001.0) 42086
GCA_009669905.1_ASM966990v1_genomic	42085	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722907	KEEP: Assembly Modern	0.0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.416109999999998e-05	NA	1.1532999999999993e-05	terminal	2.36e-08	0.0		LOW	-20	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	31.9013	7.39781764379508e-10	0.0031286095801738487	2001.0	2001.0	5.416109999999998e-05	147.0	5.416109999999998e-05	5258.005752000001	147.0	2001.0	0.0	0.0	China (2001.0) 42085	China (2001.0) 42085
GCA_009669955.1_ASM966995v1_genomic	42084	2000.0	-21	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722906	KEEP: Assembly Modern	0.0	Asia	2000.0	21.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.470349999999995e-05	NA	1.2075399999999984e-05	terminal	2.356e-07	0.0		LOW	-21	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.9963754887999999	19.384	1.215435410647957e-08	0.05140195464300454	2000.0	2000.0	5.470349999999995e-05	172.0	5.470349999999995e-05	5257.005752000001	172.0	2000.0	0.0	0.0	China (2000.0) 42084	China (2000.0) 42084
GCA_009669925.1_ASM966992v1_genomic	42083	1999.0	-22	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722905	KEEP: Assembly Modern	0.0	Asia	1999.0	22.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.418469999999998e-05	NA	1.1556599999999992e-05	terminal	0.0	0.0		LOW	-22	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0	16.0	0.0	0.0	1999.0	1999.0	5.4184699999999976e-05	149.0	5.4184699999999976e-05	5256.005762000001	149.0	1999.0	0.0	0.0	China (1999.0) 42083	China (1999.0) 42083
GCA_009669935.1_ASM966993v1_genomic	42081	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722904	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.472659999999997e-05	NA	1.209849999999999e-05	terminal	2.36e-08	0.0		LOW	-26	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	2.07831	1.1355380092478985e-08	0.04802301523834269	1995.0	1995.0	5.472659999999997e-05	123.0	5.472659999999997e-05	5252.00579	123.0	1995.0	0.0	0.0	China (1995.0) 42081	China (1995.0) 42081
GCA_009669975.1_ASM966997v1_genomic	42080	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722903	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.383109999999999e-05	NA	1.1202999999999998e-05	terminal	2.36e-08	0.0		LOW	-26	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	37.7661	6.248990496768265e-10	0.002642759321190168	1995.0	1995.0	5.383109999999999e-05	110.0	5.383109999999999e-05	5252.005730000001	110.0	1995.0	0.0	0.0	China (1995.0) 42080	China (1995.0) 42080
GCA_009670005.1_ASM967000v1_genomic	42079	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722902	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.437309999999998e-05	NA	1.1744999999999992e-05	terminal	2.356e-07	0.0		LOW	-26	NA	NA	China	Xinjiang	Asia	Rodentia	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.9963754887999999	21.8888	1.0763495486276087e-08	0.04551987723401922	1995.0	1995.0	5.437309999999998e-05	139.0	5.437309999999998e-05	5252.005692000001	139.0	1995.0	0.0	0.0	China (1995.0) 42079	China (1995.0) 42079
GCA_009670045.1_ASM967004v1_genomic	42078	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722901	KEEP: Assembly Modern	0.0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.475019999999997e-05	NA	1.2122099999999989e-05	terminal	2.36e-08	0.0		LOW	-26	NA	NA	China	Xinjiang	Asia	Siphonaptera	0.ANT	100.0	1.0	1.0	100.0	1.0	1.0	100.0	100.0	100.0	35.000074	104.999927	42.4804953	85.4633464	0.0998067128	0.0	0.0	0.0	1995.0	1995.0	5.475019999999997e-05	125.0	5.475019999999997e-05	5252.00579	125.0	1995.0	0.0	0.0	China (1995.0) 42078	China (1995.0) 42078
