sample tstv cds_sites ns_sites ss_sites ns_ss_ratio homo_het_sites homo_sites het_sites het_ratio
GCA_003798085.1_ASM379808v1_genomic 1.435 55 32 11 2.90909 72 55 17 0.236111
GCA_003798225.1_ASM379822v1_genomic 2.948 213 110 47 2.34043 242 213 29 0.119835
GCA_900460465.1_57940_B01_genomic 1.706 43 23 9 2.55556 64 43 21 0.328125
GCA_001487065.1_Yersinia_pestis_genomic 0.796 209 93 42 2.21429 212 209 3 0.0141509
GCA_004023595.1_ASM402359v1_genomic 1.987 209 113 50 2.26 225 209 16 0.0711111
GCA_004023585.1_ASM402358v1_genomic 1.934 206 111 52 2.13462 226 206 20 0.0884956
GCA_002188775.1_ASM218877v1_genomic 0.991 575 319 134 2.3806 619 575 44 0.0710824
GCA_002188725.1_ASM218872v1_genomic 0.877 581 332 135 2.45926 619 581 38 0.0613893
GCA_002188765.1_ASM218876v1_genomic 0.886 644 369 149 2.47651 687 644 43 0.062591
GCA_002188685.1_ASM218868v1_genomic 1.007 539 304 126 2.4127 585 539 46 0.0786325
GCA_002173795.1_ASM217379v1_genomic 1.077 496 267 117 2.28205 546 496 50 0.0915751
GCA_001972475.1_ASM197247v1_genomic 0.874 615 345 135 2.55556 655 615 40 0.0610687
GCA_002173805.1_ASM217380v1_genomic 0.810 667 400 138 2.89855 710 667 43 0.0605634
GCA_001972515.1_ASM197251v1_genomic 0.969 545 306 122 2.5082 590 545 45 0.0762712
GCA_002173815.1_ASM217381v1_genomic 1.025 558 309 125 2.472 605 558 47 0.077686
GCA_001972405.1_ASM197240v1_genomic 1.168 821 474 194 2.4433 849 821 28 0.03298
GCA_001972385.1_ASM197238v1_genomic 0.980 959 569 219 2.59817 984 959 25 0.0254065
GCA_001972395.1_ASM197239v1_genomic 1.032 861 498 188 2.64894 885 861 24 0.0271186
GCA_001972465.1_ASM197246v1_genomic 1.089 834 496 195 2.54359 858 834 24 0.027972
GCA_002127355.1_ASM212735v1_genomic 1.579 646 357 154 2.31818 673 646 27 0.0401189
GCA_002127375.1_ASM212737v1_genomic 1.770 604 333 137 2.43066 632 604 28 0.0443038
GCA_002165475.1_ASM216547v1_genomic 1.237 754 426 174 2.44828 781 754 27 0.0345711
GCA_002127365.1_ASM212736v1_genomic 1.305 712 390 175 2.22857 741 712 29 0.0391363
GCA_001295055.1_ASM129505v1_genomic 1.613 656 364 138 2.63768 669 656 13 0.019432
GCA_001294915.1_ASM129491v1_genomic 1.562 649 358 138 2.5942 671 649 22 0.0327869
GCA_001295025.1_ASM129502v1_genomic 1.630 392 195 95 2.05263 410 392 18 0.0439024
GCA_001294905.1_ASM129490v1_genomic 1.623 643 361 132 2.73485 657 643 14 0.021309
GCA_001294985.1_ASM129498v1_genomic 1.639 650 360 133 2.70677 655 650 5 0.00763359
GCA_001295115.1_ASM129511v1_genomic 1.428 396 204 92 2.21739 423 396 27 0.0638298
GCA_001295065.1_ASM129506v1_genomic 1.591 640 359 129 2.78295 659 640 19 0.0288316
GCA_001295185.1_ASM129518v1_genomic 1.610 646 363 132 2.75 662 646 16 0.0241692
GCA_001294975.1_ASM129497v1_genomic 1.536 432 222 93 2.3871 453 432 21 0.0463576
GCA_001294965.1_ASM129496v1_genomic 1.456 386 199 89 2.23596 414 386 28 0.0676329
GCA_001295045.1_ASM129504v1_genomic 1.618 649 358 139 2.57554 670 649 21 0.0313433
GCA_001295145.1_ASM129514v1_genomic 1.672 429 218 91 2.3956 444 429 15 0.0337838
GCA_001294885.1_ASM129488v1_genomic 1.433 452 233 102 2.28431 473 452 21 0.0443975
GCA_001294805.1_ASM129480v1_genomic 1.518 432 213 93 2.29032 450 432 18 0.04
GCA_001294815.1_ASM129481v1_genomic 1.553 656 364 139 2.61871 664 656 8 0.0120482
GCA_001294825.1_ASM129482v1_genomic 1.845 580 321 131 2.45038 585 580 5 0.00854701
GCA_000950945.1_ASM95094v1_genomic 1.323 429 216 108 2 439 429 10 0.022779
GCA_003122795.1_Y.pestis_I-2422_genomic 1.514 389 197 93 2.11828 399 389 10 0.0250627
GCA_002981995.1_ASM298199v1_genomic 1.380 454 225 111 2.02703 488 454 34 0.0696721
GCA_002981925.1_ASM298192v1_genomic 1.538 415 204 97 2.10309 439 415 24 0.0546697
GCA_002981915.1_ASM298191v1_genomic 1.461 427 212 104 2.03846 468 427 41 0.0876068
GCA_002981955.1_ASM298195v1_genomic 1.375 461 231 110 2.1 491 461 30 0.0610998
GCA_002981895.1_ASM298189v1_genomic 1.511 422 203 105 1.93333 453 422 31 0.0684327
GCA_001295105.1_ASM129510v1_genomic 1.600 646 364 133 2.73684 655 646 9 0.0137405
GCA_003074535.1_ASM307453v1_genomic 1.953 166 84 42 2 186 166 20 0.107527
GCA_003074595.1_ASM307459v1_genomic 1.791 161 84 43 1.95349 186 161 25 0.134409
GCA_003074335.1_ASM307433v1_genomic 1.641 216 120 47 2.55319 227 216 11 0.0484581
GCA_003074255.1_ASM307425v1_genomic 2.333 164 80 41 1.95122 184 164 20 0.108696
GCA_003074175.1_ASM307417v1_genomic 1.522 417 211 88 2.39773 430 417 13 0.0302326
GCA_002993145.1_ASM299314v1_genomic 1.622 646 356 141 2.52482 668 646 22 0.0329341
GCA_002005285.1_ASM200528v1_genomic 0.684 202 95 48 1.97917 231 202 29 0.125541
GCA_003074435.1_ASM307443v1_genomic 1.601 643 363 131 2.77099 649 643 6 0.00924499
GCA_003074415.1_ASM307441v1_genomic 1.618 653 361 136 2.65441 661 653 8 0.0121029
GCA_003074395.1_ASM307439v1_genomic 1.648 638 358 133 2.69173 647 638 9 0.0139104
GCA_003074375.1_ASM307437v1_genomic 1.736 223 122 47 2.59574 245 223 22 0.0897959
GCA_003074355.1_ASM307435v1_genomic 1.707 223 120 51 2.35294 238 223 15 0.0630252
GCA_003074315.1_ASM307431v1_genomic 1.719 146 77 37 2.08108 170 146 24 0.141176
GCA_003074295.1_ASM307429v1_genomic 1.678 214 115 50 2.3 243 214 29 0.119342
GCA_003074275.1_ASM307427v1_genomic 1.141 201 111 45 2.46667 210 201 9 0.0428571
GCA_003074235.1_ASM307423v1_genomic 1.413 151 79 40 1.975 170 151 19 0.111765
GCA_003074215.1_ASM307421v1_genomic 2.065 164 84 40 2.1 183 164 19 0.103825
GCA_003074195.1_ASM307419v1_genomic 1.761 151 80 40 2 178 151 27 0.151685
GCA_003074155.1_ASM307415v1_genomic 1.831 155 82 38 2.15789 170 155 15 0.0882353
GCA_003085995.1_ASM308599v1_genomic 1.688 219 122 51 2.39216 243 219 24 0.0987654
GCA_002412255.1_Y.pestis_A-1836_genomic 0.611 157 85 39 2.17949 191 157 34 0.17801
GCA_003086015.1_ASM308601v1_genomic 1.736 153 84 34 2.47059 176 153 23 0.130682
GCA_003085935.1_ASM308593v1_genomic 1.575 644 357 137 2.60584 646 644 2 0.00309598
GCA_003085975.1_ASM308597v1_genomic 1.600 217 120 49 2.44898 242 217 25 0.103306
GCA_003086055.1_ASM308605v1_genomic 1.826 223 124 52 2.38462 241 223 18 0.0746888
GCA_003085955.1_ASM308595v1_genomic 1.445 389 205 84 2.44048 410 389 21 0.0512195
GCA_003085895.1_ASM308589v1_genomic 1.441 396 203 91 2.23077 410 396 14 0.0341463
GCA_002412245.1_Y.pestis_A-1691_genomic 1.571 173 97 37 2.62162 206 173 33 0.160194
GCA_002412225.1_Y.pestis_A-1486_genomic 2.051 155 84 35 2.4 182 155 27 0.148352
GCA_003085875.1_ASM308587v1_genomic 1.605 637 361 128 2.82031 641 637 4 0.00624025
GCA_002412235.1_Y.pestis_A-1249_genomic 1.391 450 234 101 2.31683 464 450 14 0.0301724
GCA_003085915.1_ASM308591v1_genomic 2.015 155 82 40 2.05 170 155 15 0.0882353
GCA_002412305.1_Y.pestis_A-1809_genomic 0.729 214 110 52 2.11538 234 214 20 0.0854701
GCA_003086095.1_ASM308609v1_genomic 1.553 215 117 51 2.29412 240 215 25 0.104167
GCA_003086115.1_ASM308611v1_genomic 0.459 227 124 56 2.21429 252 227 25 0.0992063
GCA_003086075.1_ASM308607v1_genomic 0.477 226 133 49 2.71429 260 226 34 0.130769
GCA_003086035.1_ASM308603v1_genomic 1.433 391 205 87 2.35632 415 391 24 0.0578313
GCA_001693595.1_ASM169359v1_genomic 0.647 27 14 7 2 28 27 1 0.0357143
GCA_003085855.1_ASM308585v1_genomic 1.614 231 125 54 2.31481 257 231 26 0.101167
GCA_000835005.1_ASM83500v1_genomic 2.661 218 113 53 2.13208 243 218 25 0.102881
GCA_001559935.1_ASM155993v1_genomic 0.828 231 130 52 2.5 258 231 27 0.104651
GCA_001509855.1_ASM150985v1_genomic 1.171 59 27 11 2.45455 59 59 0 0
GCA_001509865.1_ASM150986v1_genomic 2.190 62 21 16 1.3125 62 62 0 0
GCA_001617815.1_Yersinia_pestis_M-1453_genomic 1.806 230 126 56 2.25 241 230 11 0.0456432
GCA_001617805.1_Yersinia_pestis_173_genomic 1.685 216 118 46 2.56522 228 216 12 0.0526316
GCA_001617785.1_Yersinia_pestis_M-549_genomic 1.721 214 118 49 2.40816 236 214 22 0.0932203
GCA_001617715.1_Yersinia_pestis_M-519_genomic 2.225 265 149 60 2.48333 286 265 21 0.0734266
GCA_001617735.1_Yersinia_pestis_M-1763_genomic 2.183 240 128 61 2.09836 248 240 8 0.0322581
GCA_001613895.1_ASM161389v1_genomic 1.710 222 117 51 2.29412 234 222 12 0.0512821
GCA_001613885.1_ASM161388v1_genomic 1.678 210 121 46 2.63043 239 210 29 0.121339
GCA_001613865.1_ASM161386v1_genomic 0.628 211 116 46 2.52174 222 211 11 0.0495495
GCA_001601285.1_ASM160128v1_genomic 1.985 184 93 47 1.97872 207 184 23 0.111111
GCA_001601735.1_ASM160173v1_genomic 0.942 424 221 91 2.42857 447 424 23 0.0514541
GCA_001601675.1_ASM160167v1_genomic 1.018 571 315 133 2.36842 575 571 4 0.00695652
GCA_001595585.1_ASM159558v1_genomic 1.708 219 121 51 2.37255 246 219 27 0.109756
GCA_000834755.1_ASM83475v1_genomic 1.200 41 21 5 4.2 46 41 5 0.108696
GCA_000834905.1_ASM83490v1_genomic 1.435 55 32 11 2.90909 71 55 16 0.225352
GCA_000970105.1_ASM97010v1_genomic 1.747 227 122 50 2.44 262 227 35 0.133588
GCA_001188735.1_ASM118873v1_genomic 1.771 240 126 54 2.33333 270 240 30 0.111111
GCA_001188795.1_ASM118879v1_genomic 1.554 674 368 141 2.60993 685 674 11 0.0160584
GCA_001188775.1_ASM118877v1_genomic 1.545 673 367 138 2.65942 699 673 26 0.037196
GCA_001188755.1_ASM118875v1_genomic 1.617 663 361 141 2.56028 691 663 28 0.040521
GCA_001188325.1_YPY_1_genomic 1.580 674 371 136 2.72794 681 674 7 0.010279
GCA_001188335.1_DYA_1_genomic 1.614 683 373 145 2.57241 693 683 10 0.01443
GCA_001188815.1_ASM118881v1_genomic 1.745 235 121 58 2.08621 262 235 27 0.103053
GCA_001261975.1_YPW_8_IHQD_genomic 1.713 230 123 51 2.41176 267 230 37 0.138577
GCA_001261985.1_YPW_3_IHQD_genomic 1.714 55 30 11 2.72727 81 55 26 0.320988
GCA_001188935.1_ASM118893v1_genomic 1.587 664 363 139 2.61151 694 664 30 0.0432277
GCA_001188715.1_ASM118871v1_genomic 1.568 670 369 133 2.77444 693 670 23 0.033189
GCA_001188695.1_ASM118869v1_genomic 1.583 668 364 142 2.56338 683 668 15 0.0219619
GCA_000006645.1_ASM664v1_genomic 1.832 235 126 52 2.42308 260 235 25 0.0961538
GCA_000022845.1_ASM2284v1_genomic 2.000 80 45 21 2.14286 99 80 19 0.191919
GCA_000022825.1_ASM2282v1_genomic 0.744 176 104 35 2.97143 199 176 23 0.115578
GCA_000022805.1_ASM2280v1_genomic 1.276 151 76 45 1.68889 173 151 22 0.127168
GCA_000007885.1_ASM788v1_genomic 1.431 466 240 96 2.5 506 466 40 0.0790514
GCA_000013825.1_ASM1382v1_genomic 2.883 217 111 48 2.3125 228 217 11 0.0482456
GCA_000475155.2_YP24H_v2_genomic 0.744 75 41 6 6.83333 75 75 0 0
GCA_000475115.2_YP113_v2_genomic 1.056 76 46 12 3.83333 76 76 0 0
GCA_000475095.2_YP009_v2_genomic 0.840 81 49 11 4.45455 81 81 0 0
GCA_000475135.2_YPS03_v2_genomic 1.644 243 117 63 1.85714 246 243 3 0.0121951
GCA_000705315.1_EDB10_058v1_genomic 0.692 40 22 11 2 40 40 0 0
GCA_000324805.2_EV76-CN_genomic 1.118 166 67 42 1.59524 167 166 1 0.00598802
GCA_000182705.1_ASM18270v1_genomic 1.255 231 121 52 2.32692 254 231 23 0.0905512
GCA_000834885.1_ASM83488v1_genomic 3.909 401 226 95 2.37895 438 401 37 0.0844749
GCA_000269245.1_ASM26924v1_genomic 1.882 89 41 21 1.95238 89 89 0 0
GCA_000269465.1_ASM26946v1_genomic 2.344 125 41 20 2.05 137 125 12 0.0875912
GCA_000269165.1_ASM26916v1_genomic 1.595 88 43 28 1.53571 88 88 0 0
GCA_000268705.1_ASM26870v1_genomic 1.563 74 35 21 1.66667 77 74 3 0.038961
GCA_000268505.1_ASM26850v1_genomic 1.657 86 38 27 1.40741 86 86 0 0
GCA_000268645.1_ASM26864v1_genomic 1.333 74 36 19 1.89474 75 74 1 0.0133333
GCA_000268465.1_ASM26846v1_genomic 2.063 90 40 20 2 92 90 2 0.0217391
GCA_000268625.1_ASM26862v1_genomic 2.000 77 37 22 1.68182 79 77 2 0.0253165
GCA_000268605.1_ASM26860v1_genomic 1.538 60 33 14 2.35714 61 60 1 0.0163934
GCA_000268445.1_ASM26844v1_genomic 1.771 87 35 20 1.75 87 87 0 0
GCA_000268425.1_ASM26842v1_genomic 3.182 85 31 22 1.40909 85 85 0 0
GCA_000268405.1_ASM26840v1_genomic 1.492 97 37 26 1.42308 97 97 0 0
GCA_001188675.1_ASM118867v1_genomic 2.212 158 85 34 2.5 196 158 38 0.193878
GCA_000590535.1_EV_NIIEG_genomic 0.950 55 31 9 3.44444 66 55 11 0.166667
GCA_000590535.2_ASM59053v2_genomic 1.429 50 28 9 3.11111 73 50 23 0.315068
GCA_000311885.1_ASM31188v1_genomic 1.600 63 32 14 2.28571 63 63 0 0
GCA_000255855.1_ASM25585v1_genomic 1.435 47 23 9 2.55556 50 47 3 0.06
GCA_000255835.1_ASM25583v1_genomic 1.316 40 20 6 3.33333 40 40 0 0
GCA_000255815.1_ASM25581v1_genomic 1.188 34 18 5 3.6 34 34 0 0
GCA_000255735.1_ASM25573v1_genomic 2.273 31 13 6 2.16667 32 31 1 0.03125
GCA_000255795.1_ASM25579v1_genomic 1.385 30 15 5 3 32 30 2 0.0625
GCA_000255755.1_ASM25575v1_genomic 0.913 35 19 7 2.71429 36 35 1 0.0277778
GCA_000255895.1_ASM25589v1_genomic 1.444 41 20 8 2.5 44 41 3 0.0681818
GCA_000255875.1_ASM25587v1_genomic 1.263 40 19 8 2.375 44 40 4 0.0909091
GCA_000255775.1_ASM25577v1_genomic 1.385 28 15 4 3.75 31 28 3 0.0967742
GCA_000182485.1_ASM18248v1_genomic 1.602 200 102 45 2.26667 234 200 34 0.145299
GCA_000181455.2_ASM18145v2_genomic 1.357 32 15 5 3 39 32 7 0.179487
GCA_000325485.1_ASM32548v1_genomic 1.667 54 28 16 1.75 54 54 0 0
GCA_000325465.1_ASM32546v1_genomic 1.485 78 42 22 1.90909 78 78 0 0
GCA_000325445.1_ASM32544v1_genomic 1.522 56 29 16 1.8125 56 56 0 0
GCA_000325425.1_ASM32542v1_genomic 1.636 56 31 17 1.82353 56 56 0 0
GCA_000325405.1_ASM32540v1_genomic 1.520 58 31 18 1.72222 58 58 0 0
GCA_000325385.1_ASM32538v1_genomic 1.917 66 35 19 1.84211 66 66 0 0
