BioSampleAccession	BioSampleComment
SAMN05521422	KEEP: Assembly Modern Kislichkina 2017 Keller 2019 QC Fail
SAMN05521421	KEEP: Assembly Modern Kislichkina 2017 Keller 2019 QC Fail
SAMN05521420	KEEP: Assembly Modern Kislichkina 2017 Keller 2019 QC Fail
SAMN04992971	KEEP: Assembly Modern Kislichkina 2017 Keller 2019 QC Fail
SAMN04992968	KEEP: Assembly Modern Kislichkina 2017 Keller 2019 QC Fail
SAMN03861486	KEEP: Assembly Modern Kislichkina 2015 Keller 2019 QC Fail
SAMN03839881	KEEP: Assembly Modern Kislichkina 2015 Keller 2019 QC Fail
SAMN03839878	KEEP: Assembly Modern Kislichkina 2015 Keller 2019 QC Fail
SAMN03256423	KEEP: Assembly Modern Kislichkina 2015 Keller 2019 QC Fail
SAMN08625969	KEEP: Assembly Modern Kislichkina 2018b Keller 2019 QC Fail
SAMN08625966	KEEP: Assembly Modern Kislichkina 2018b Keller 2019 QC Fail
SAMN08625965	KEEP: Assembly Modern Kislichkina 2018b Keller 2019 QC Fail
SAMN06161235	KEEP: Assembly Modern Placement QC Fail
SAMN05225373	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN05225370	KEEP: Assembly Modern Placement QC Fail
SAMN05162891	KEEP: Assembly Modern Eroshenko 2017 Keller 2019 QC Fail
SAMN05150105	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN05150068	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN05149969	KEEP: Assembly Modern Eroshenko 2017 Keller 2019 QC Fail
SAMN05017696	KEEP: Assembly Modern Eroshenko 2017 Keller 2019 QC Fail
SAMN05017652	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN05017610	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN05017606	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN05282282	KEEP: Assembly Modern QC Fail
SAMN03256395	KEEP: Assembly Modern Placement QC Fail
SAMN04331740	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN04012736	KEEP: Assembly Modern QC Fail
SAMN04376048	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN04364301	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN04337145	KEEP: Assembly Modern Eroshenko 2017 Keller 2019 QC Fail
SAMN04336076	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 QC Fail
SAMN03074123	KEEP: Assembly Modern QC Fail
SAMN03216587	KEEP: Assembly Modern QC Fail
SAMN03816156	KEEP: Assembly Modern QC Fail
SAMN02603872	KEEP: Assembly Modern QC Fail
SAMN02603871	KEEP: Assembly Modern QC Fail
SAMN02602970	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 QC Fail
SAMN02470618	KEEP: Assembly Modern QC Fail
SAMN02470617	KEEP: Assembly Modern QC Fail
SAMN02470616	KEEP: Assembly Modern QC Fail
SAMN02470613	KEEP: Assembly Modern QC Fail
SAMN02207408	KEEP: Assembly Modern QC Fail
SAMN02403074	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02404405	KEEP: Assembly Modern QC Fail
SAMN03216612	KEEP: Assembly Modern QC Fail
SAMN02141462	KEEP: Assembly Modern QC Fail
SAMN02141455	KEEP: Assembly Modern QC Fail
SAMN02598688	KEEP: Assembly Modern QC Fail
SAMN02598688	KEEP: Assembly Modern QC Fail
SAMN01831187	KEEP: Assembly Modern QC Fail
SAMN01831186	KEEP: Assembly Modern QC Fail
SAMN01831185	KEEP: Assembly Modern QC Fail
SAMN01831184	KEEP: Assembly Modern QC Fail
SAMN01831183	KEEP: Assembly Modern QC Fail
SAMN01831182	KEEP: Assembly Modern QC Fail
SAMN01831181	KEEP: Assembly Modern QC Fail
SAMN01831180	KEEP: Assembly Modern QC Fail
SAMN01831179	KEEP: Assembly Modern QC Fail
SAMN02403940	KEEP: Assembly Modern Morelli 2010 Cui 2013 Keller 2019 QC Fail
SAMN02403107	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403080	KEEP: Assembly Modern Modern Cui 2013 Keller 2019 QC Fail
SAMN02403077	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403075	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403067	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403066	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403061	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403053	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403040	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403037	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403034	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN02403022	KEEP: Assembly Modern Cui 2013 Keller 2019 QC Fail
SAMN01902219	KEEP: Assembly Modern QC Fail
SAMN02141501	KEEP: Assembly Modern QC Fail
SAMN02141499	KEEP: Assembly Modern Placement QC Fail
SAMN02141498	KEEP: Assembly Modern QC Fail
SAMN02141495	KEEP: Assembly Modern QC Fail
SAMN02141493	KEEP: Assembly Modern QC Fail
SAMN02141491	KEEP: Assembly Modern QC Fail
SAMN02141489	KEEP: Assembly Modern QC Fail
SAMN02141487	KEEP: Assembly Modern QC Fail
SAMN02141486	KEEP: Assembly Modern QC Fail
SAMN02141483	KEEP: Assembly Modern QC Fail
SAMN02141481	KEEP: Assembly Modern QC Fail
SAMN02141480	KEEP: Assembly Modern QC Fail
SAMN02141480	KEEP: Assembly Modern QC Fail
SAMN02141474	KEEP: Assembly Modern QC Fail
SAMN02141452	KEEP: Assembly Modern QC Fail
SAMN02141448	KEEP: Assembly Modern QC Fail
SAMN01902220	KEEP: Assembly Modern QC Fail
SAMN15062816	KEEP: Assembly Modern QC Fail
SAMN15062812	KEEP: Assembly Modern QC Fail
SAMN15053870	KEEP: Assembly Modern QC Fail
SAMN15053798	KEEP: Assembly Modern QC Fail
SAMN14943532	KEEP: Assembly Modern No Province QC Fail
SAMN14943531	KEEP: Assembly Modern No Province QC Fail
SAMN14090012	KEEP: Assembly Modern QC Fail
