sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	population_color	population	geometry	root_rtt_dist	clade_rtt_dist	population_rtt_dist	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	variant_qc	tstv_outlier
GCA_009669725.1_ASM966972v1_genomic	42102	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722917	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.526899999999994e-05	NA	1.264089999999998e-05	2.0	247.0	136.0	60.0	2.26667	0.0	0.0	266.0	247.0	19.0	0.07142860000000001	2.356e-07	pass	0.0
GCA_009669715.1_ASM966971v1_genomic	42099	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722916	KEEP: Assembly Modern	0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5456399999999986e-05	NA	1.2828299999999997e-05	2.045	244.0	138.0	59.0	2.33898	0.0	0.0	261.0	244.0	17.0	0.0651341	1.6489e-06	pass	0.0
GCA_009669705.1_ASM966970v1_genomic	42098	1986.0	-35	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722915	KEEP: Assembly Modern	0	Asia	1986.0	35.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.456139999999999e-05	NA	1.1933299999999995e-05	2.131	242.0	131.0	64.0	2.04688	0.0	0.0	269.0	242.0	27.0	0.100372	4.711e-07	pass	0.0
GCA_009669775.1_ASM966977v1_genomic	42094	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722914	KEEP: Assembly Modern	0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.392549999999998e-05	NA	1.1297399999999993e-05	2.035	237.0	132.0	59.0	2.2372900000000002	0.0	0.0	259.0	237.0	22.0	0.0849421	2.36e-08	pass	0.0
GCA_009669765.1_ASM966976v1_genomic	42093	1983.0	-38	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722913	KEEP: Assembly Modern	0	Asia	1983.0	38.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4113899999999983e-05	NA	1.1485799999999994e-05	1.966	236.0	134.0	57.0	2.35088	0.0	0.0	256.0	236.0	20.0	0.078125	2.36e-08	pass	0.0
GCA_009669805.1_ASM966980v1_genomic	42092	1980.0	-41	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722912	KEEP: Assembly Modern	0	Asia	1980.0	41.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4208299999999974e-05	NA	1.1580199999999991e-05	2.0580000000000003	244.0	135.0	61.0	2.21311	0.0	0.0	275.0	244.0	31.0	0.112727	2.36e-08	pass	0.0
GCA_009669825.1_ASM966982v1_genomic	42090	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722911	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Oropsylla silantiewi	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.498569999999997e-05	NA	1.2357599999999988e-05	2.022	243.0	133.0	62.0	2.1451599999999997	1.0	0.016128999999999998	255.0	243.0	12.0	0.047058800000000005	2.36e-08	pass	0.0
GCA_009669835.1_ASM966983v1_genomic	42089	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722910	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Anoplura	Phthiraptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4184699999999976e-05	NA	1.1556599999999992e-05	2.0340000000000003	241.0	135.0	59.0	2.2881400000000003	0.0	0.0	259.0	241.0	18.0	0.06949810000000001	0.0	pass	0.0
GCA_009669845.1_ASM966984v1_genomic	42088	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722909	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Ixodex crenulatus	Ixodida	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4302699999999964e-05	NA	1.1674599999999988e-05	2.08	244.0	134.0	60.0	2.23333	0.0	0.0	263.0	244.0	19.0	0.0722433	2.36e-08	pass	0.0
GCA_009669875.1_ASM966987v1_genomic	42086	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722908	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Neopsylla mana Wagn	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.413749999999998e-05	NA	1.1509399999999994e-05	2.024	235.0	131.0	57.0	2.29825	0.0	0.0	255.0	235.0	20.0	0.0784314	2.36e-08	pass	0.0
GCA_009669905.1_ASM966990v1_genomic	42085	2001.0	-20	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722907	KEEP: Assembly Modern	0	Asia	2001.0	20.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.416109999999998e-05	NA	1.1532999999999993e-05	1.989	246.0	137.0	60.0	2.28333	1.0	0.0166667	263.0	246.0	17.0	0.06463880000000001	2.36e-08	pass	0.0
GCA_009669955.1_ASM966995v1_genomic	42084	2000.0	-21	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722906	KEEP: Assembly Modern	0	Asia	2000.0	21.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.470349999999995e-05	NA	1.2075399999999983e-05	2.148	234.0	130.0	56.0	2.32143	0.0	0.0	251.0	234.0	17.0	0.0677291	2.356e-07	pass	0.0
GCA_009669925.1_ASM966992v1_genomic	42083	1999.0	-22	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722905	KEEP: Assembly Modern	0	Asia	1999.0	22.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4184699999999976e-05	NA	1.1556599999999992e-05	2.035	239.0	134.0	58.0	2.31034	0.0	0.0	258.0	239.0	19.0	0.0736434	0.0	pass	0.0
GCA_009669935.1_ASM966993v1_genomic	42081	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722904	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.472659999999997e-05	NA	1.209849999999999e-05	2.0340000000000003	243.0	134.0	59.0	2.2711900000000003	1.0	0.0169492	260.0	243.0	17.0	0.0653846	2.36e-08	pass	0.0
GCA_009669975.1_ASM966997v1_genomic	42080	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722903	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.383109999999999e-05	NA	1.1202999999999996e-05	2.061	231.0	129.0	56.0	2.30357	0.0	0.0	246.0	231.0	15.0	0.0609756	2.36e-08	pass	0.0
GCA_009670005.1_ASM967000v1_genomic	42079	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722902	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.437309999999998e-05	NA	1.1744999999999993e-05	1.91	238.0	133.0	59.0	2.2542400000000002	0.0	0.0	264.0	238.0	26.0	0.09848480000000001	2.356e-07	pass	0.0
GCA_009670045.1_ASM967004v1_genomic	42078	1995.0	-26	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722901	KEEP: Assembly Modern	0	Asia	1995.0	26.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.475019999999997e-05	NA	1.2122099999999989e-05	2.0469999999999997	239.0	132.0	60.0	2.2	0.0	0.0	264.0	239.0	25.0	0.094697	2.36e-08	pass	0.0
GCA_009670015.1_ASM967001v1_genomic	42077	1994.0	-27	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722900	KEEP: Assembly Modern	0	Asia	1994.0	27.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4090299999999986e-05	NA	1.1462199999999995e-05	2.023	239.0	132.0	61.0	2.16393	0.0	0.0	258.0	239.0	19.0	0.0736434	2.356e-07	pass	0.0
GCA_009670055.1_ASM967005v1_genomic	42075	1993.0	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722899	KEEP: Assembly Modern	0	Asia	1993.0	28.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum altaicus	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.449099999999997e-05	NA	1.186289999999999e-05	1.956	245.0	134.0	63.0	2.12698	0.0	0.0	278.0	245.0	33.0	0.11870499999999999	2.36e-08	pass	0.0
GCA_009670075.1_ASM967007v1_genomic	42074	1993.0	-28	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722898	KEEP: Assembly Modern	0	Asia	1993.0	28.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.390189999999998e-05	NA	1.1273799999999994e-05	1.989	241.0	132.0	60.0	2.2	0.0	0.0	261.0	241.0	20.0	0.0766284	2.36e-08	pass	0.0
GCA_009670115.1_ASM967011v1_genomic	42072	1992.0	-29	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722897	KEEP: Assembly Modern	0	Asia	1992.0	29.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Frontopsylla luculenta	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.449099999999997e-05	NA	1.186289999999999e-05	1.989	250.0	138.0	61.0	2.2623	1.0	0.016393400000000002	267.0	250.0	17.0	0.0636704	2.36e-08	pass	0.0
GCA_009667895.1_ASM966789v1_genomic	42071	1991.0	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722896	KEEP: Assembly Modern	0	Asia	1991.0	30.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.397269999999997e-05	NA	1.1344599999999991e-05	2.023	240.0	130.0	57.0	2.2807	5.0	0.0877193	263.0	240.0	23.0	0.0874525	2.36e-08	pass	0.0
GCA_009670135.1_ASM967013v1_genomic	42070	1991.0	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722895	KEEP: Assembly Modern	0	Asia	1991.0	30.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.404309999999999e-05	NA	1.1414999999999997e-05	2.1109999999999998	235.0	130.0	56.0	2.32143	1.0	0.0178571	251.0	235.0	16.0	0.06374500000000001	2.356e-07	pass	0.0
GCA_009670155.1_ASM967015v1_genomic	42069	1991.0	-30	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722894	KEEP: Assembly Modern	0	Asia	1991.0	30.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.397269999999997e-05	NA	1.1344599999999991e-05	2.035	239.0	130.0	61.0	2.13115	0.0	0.0	255.0	239.0	16.0	0.0627451	2.36e-08	pass	0.0
GCA_009670105.1_ASM967010v1_genomic	42068	1989.0	-32	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722893	KEEP: Assembly Modern	0	Asia	1989.0	32.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Marmota baibacina	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4184699999999976e-05	NA	1.1556599999999992e-05	2.0	240.0	134.0	59.0	2.2711900000000003	0.0	0.0	260.0	240.0	20.0	0.07692310000000001	0.0	pass	0.0
GCA_009670185.1_ASM967018v1_genomic	42065	1988.0	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722892	KEEP: Assembly Modern	0	Asia	1988.0	33.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.550449999999994e-05	NA	1.2876399999999979e-05	1.955	240.0	135.0	57.0	2.36842	0.0	0.0	268.0	240.0	28.0	0.104478	4.711e-07	pass	0.0
GCA_009670205.1_ASM967020v1_genomic	42064	1988.0	-33	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722891	KEEP: Assembly Modern	0	Asia	1988.0	33.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.434989999999996e-05	NA	1.1721799999999987e-05	1.9240000000000002	246.0	134.0	61.0	2.19672	0.0	0.0	278.0	246.0	32.0	0.11510799999999999	2.36e-08	pass	0.0
GCA_009670225.1_ASM967022v1_genomic	42063	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722890	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.541009999999995e-05	NA	1.2781999999999982e-05	2.092	245.0	134.0	59.0	2.2711900000000003	0.0	0.0	261.0	245.0	16.0	0.061302699999999995	4.711e-07	pass	0.0
GCA_009670235.1_ASM967023v1_genomic	42062	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722889	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellus undulatus	Rodentia	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.519819999999995e-05	NA	1.2570099999999982e-05	2.045	244.0	133.0	60.0	2.21667	0.0	0.0	260.0	244.0	16.0	0.061538499999999996	2.356e-07	pass	0.0
GCA_009670245.1_ASM967024v1_genomic	42061	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722888	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.42078e-05	NA	1.1579699999999999e-05	2.056	243.0	136.0	57.0	2.38596	1.0	0.0175439	260.0	243.0	17.0	0.0653846	4.711e-07	pass	0.0
GCA_009667925.1_ASM966792v1_genomic	42060	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722887	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Rhadinopsylla li ventricosa	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.503339999999994e-05	NA	1.240529999999998e-05	2.023	238.0	133.0	58.0	2.2931	0.0	0.0	267.0	238.0	29.0	0.10861400000000002	2.36e-08	pass	0.0
GCA_009670285.1_ASM967028v1_genomic	42059	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722886	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5245399999999944e-05	NA	1.261729999999998e-05	1.881	250.0	136.0	59.0	2.30508	1.0	0.0169492	272.0	250.0	22.0	0.0808824	2.356e-07	pass	0.0
GCA_009670305.1_ASM967030v1_genomic	42058	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722885	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.5480899999999945e-05	NA	1.285279999999998e-05	1.989	245.0	136.0	59.0	2.30508	0.0	0.0	262.0	245.0	17.0	0.0648855	4.711e-07	pass	0.0
GCA_009670345.1_ASM967034v1_genomic	42057	1987.0	-34	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Antiqua	0.ANT	0.ANT1	SAMN07722884	KEEP: Assembly Modern	0	Asia	1987.0	34.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 2.04	Citellophilus tesquorum	Siphonaptera	#238af5	0.ANT	POINT (85.46334640000001 42.4804953)	5.4184699999999976e-05	NA	1.1556599999999992e-05	1.9680000000000002	247.0	133.0	61.0	2.18033	0.0	0.0	264.0	247.0	17.0	0.06439389999999999	0.0	pass	0.0
